msgid,msgstr
mounting_holes_inset,Расстояние монтажных отверстий вентилятора от внешнего края
arms,Количество лучей
inner_disc,Относительный размер внутреннего диска
Style of the fan hole,Стиль отверстия вентилятора
CW Swirl,По часовой стрелке
CCW Swirl,Против часовой стрелки
Hole,Отверстие
FatBallDispenser,Скворечник для жировых шариков
FatBallDispenser Settings,Настройки FatBallDispenser
sides,Количество сторон основания
pole_diameter,Диаметр стоек
ball_diameter,Диаметр жировых шариков. Укажите с запасом для свободной посадки
balcony_width,Ширина области снаружи стоек
balcony_height,Высота балкона в мм. Установите 0, если стены не нужны
drain_hole_diameter,Диаметр отверстия в полу для стока дождевой воды в мм. Установите 0, если не нужно
pole_clearance,Минимальное расстояние между стойкой и центральным отверстием для заправки в мм
slide_clearance,Зазор между частями, скользящими друг в друга в запирающем механизме, в мм
spacer_width,Ширина прокладки (часть запирающего механизма) в мм
pole_clearance_factor,Доля зазора стоек, используемая для запирающего механизма
roof_width,Насколько шире крыша, чем нижняя часть
roof_height,Высота крыши в мм
roof_hole_diameter,Диаметр отверстия в крыше в мм. Установите 0, если не нужен крюк
roof_maintenance_clearance,Расстояние от нижнего угла крыши до отверстия для обслуживания в мм
roof_support_fraction,Радиус опорной части крыши как доля радиуса крыши
FilamentSpool,Двухкомпонентная катушка для филамента 3D-принтера
FilamentSpool Settings,Настройки FilamentSpool
outer_diameter,Диаметр фланцев
inner_diameter,Диаметр центральной части
axle_diameter,Диаметр отверстия оси
number of pieces for the center part,Количество частей для центральной части
FillTest,Деталь для тестирования различных настроек заполнения отверстий
FillTest Settings,Настройки FillTest
FlexBook,Коробка с живой петлёй в стиле книги
FlexBook Settings,Настройки FlexBook
recess_wall,Углублять ли внутреннюю стенку для облегчения извлечения объектов
FlexBox,Коробка с живой петлёй и круглыми углами
FlexBox Settings,Настройки FlexBox
FlexBox2,Коробка с живой петлёй и закруглёнными верхними углами
FlexBox2 Settings,Настройки FlexBox2
Radius of the corners in mm,Радиус углов в мм
FlexBox3,Коробка с живой петлёй
FlexBox3 Settings,Настройки FlexBox3
z,Высота коробки
height of the lid,Высота крышки
radius of the lids living hinge,Радиус живой петли крышки
clearance of the lid,Зазор крышки
FlexBox4,Коробка с живой петлёй и закруглёнными левыми углами
FlexBox4 Settings,Настройки FlexBox4
FlexBox5,Коробка с живой петлёй
FlexBox5 Settings,Настройки FlexBox5
top_diameter,Диаметр верха
bottom_diameter,Диаметр низа
FlexTest,Деталь для тестирования различных гибких настроек
FlexTest Settings,Настройки FlexTest
FlexTest2,Деталь для тестирования 2D гибких настроек
FlexTest2 Settings,Настройки FlexTest2
fw,Расстояние между гибкими разрезами в кратности толщины
Folder,Обложка книги с гибким корешком
Folder Settings,Настройки Folder
r,Радиус
FrontPanel,Монтажные отверстия и вырезы для всех ваших потребностей
FrontPanel Settings,Настройки FrontPanel
rect x y w h [cr=0] [cx=True] [cy=True],Прямоугольник x y w h [cr=0] [cx=True] [cy=True]
outline,Контур
circle,Круг
Kamishibai,Камишибай
Kamishibai Settings,Настройки Kamishibai
SheetWidth,Ширина листов в мм
SheetHeight,Высота листов в мм
SheetsStackDepth,Глубина стопки листов в мм
FrameThickness,Толщина рамки в мм
FrameCornerRadius,Радиус углов рамки в мм
Margin,Зазор для листов и подвижных частей в мм
HandleThickness,Толщина верхней ручки в кратности толщины (0 для отсутствия ручки)
HandleWidth,Ширина верхней ручки в мм (0 для отсутствия ручки); глубина стопки листов должна быть как минимум на 4 толщины больше
HandleMargin,Зазор для верхней ручки в мм (0 для отсутствия зазора)
BackExtraDepth,Дополнительная глубина задней части (например, для кнопок) в кратности толщины; установите 0 для минимального расчёта системой
PegsWidthMargin,Зазор для ширины штифтов в мм; установите меньшее значение, если детали плотно соединяются, большее — если легко вставляются (с винтами или клеем)
Kamishibai front cover,Передняя крышка камишибай
FrontCoverStyle,Стиль передней крышки
slide-on lid,Скользящая крышка
two-part lid with hinge eyes (both ends),Двухсекционная крышка с петельными ушками (на обоих концах)
three-part lid, higes not provided,Трёхсекционная крышка, петли не предоставляются
FrontExtraDepth,Дополнительная глубина передней части (например, для петель) в кратности толщины; установите 0 для игнорирования или минимального расчёта системой
FrontLockStyle,Стиль переднего замка
simple,Простой
with key,С ключом
FrontExtraTopAndBottomLocks,Добавить дополнительные замки сверху и снизу
Kamishibai 3 pane cover hinge holes,Отверстия для петель трёхпанельной крышки камишибай
HingeHolesDiameter,Диаметр отверстий для петель в мм (0 для отсутствия отверстий)
HingeHolesCoverEdgeDistance,Расстояние отверстий крышки от края до центров отверстий в мм
HingeHolesBoxEdgeDistance,Расстояние отверстий коробки от края до центров отверстий в мм
HingeHolesCoverSeparation,Расстояние между центрами отверстий крышки в мм (тип параметра секции); первый элемент — расстояние от границы
HingeHolesBoxSeparation,Расстояние между центрами отверстий коробки в мм (тип параметра секции); первый элемент — расстояние от границы
Screws parameters for attaching the pieces together,Параметры винтов для соединения деталей
LockScrewDiameter,Диаметр винтовых отверстий в мм (0 для отсутствия винтов)
TopLockScrewLength,Длина верхних фиксирующих винтов в мм
BottomLockScrewLength,Длина нижних фиксирующих винтов в мм
DoorFeetScrewLength,Длина винтов для ножек двери в мм (0 для отсутствия винтов)
LockNutThickness,Толщина фиксирующих гаек в мм
LockNutWidth,Ширина фиксирующих гаек в мм
LockScrewDistanceFromBorder,Расстояние оси винта от боковой границы (в кратности толщины)
LockScrewExtraFeetScewDiameter,Диаметр винтовых отверстий для дополнительных ножек в углах в мм (0 для отсутствия винтов)
LockScrewExtraFeetDistanceFromBorder,Расстояние оси дополнительных ножек в углах от границы в мм (0 для отсутствия винтов)
KeyHolder,Настенный органайзер с крючками для ключей или мелких предметов
KeyHolder Settings,Настройки KeyHolder
num_hooks,Количество крючков
hook_distance,Расстояние между крючками
hook_thickness,Толщина крючка
hook_height,Высота задней части крючка
padding_top,Отступ сверху от крючков
padding_left_right,Отступ слева и справа от крючков
padding_bot,Отступ снизу от крючков
mounting,Добавить монтажные отверстия
Keypad,Генератор для клавиатур с механическими переключателями
Keypad Settings,Настройки Keypad
top1_thickness,Толщина слоя для удержания кнопок, переключатели типа Cherry требуют 1,5 мм или меньше для защёлкивания
top2_enable,Включить дополнительный верхний слой для горячей замены разъёмов CPG151101S11
top2_thickness,Толщина слоя для горячей замены, разъёмы CPG151101S11 требуют 1,2–1,5 мм
LaptopStand,Простая X-образная рама для поддержки ноутбука под заданным углом
LaptopStand Settings,Настройки LaptopStand
l_depth,Глубина ноутбука - спереди назад (в мм)
l_thickness,Толщина ноутбука (в мм)
desired tilt of keyboard (deg),Желаемый угол наклона клавиатуры (в градусах)
ground_offset,Желаемая высота между нижней частью ноутбука и землёй в самой низкой точке (передняя часть подставки)
nub_size,Желаемая толщина опорного края
LaserClamp,Зажим для удержания материала на ножево́м столе
LaserClamp Settings,Настройки LaserClamp
minheight,Минимальная высота зажима в мм
maxheight,Максимальная высота зажима в мм
extraheight,Дополнительная высота для более плавной работы в мм
LaserHoldfast,Фиксатор для сотовых столов лазерных резаков
LaserHoldfast Settings,Настройки LaserHoldfast
hookheight,Высота верхнего крюка
shaftwidth,Ширина вала
LBeam,Простая L-образная балка: две детали, соединённые под прямым углом
LBeam Settings,Настройки LBeam
MagazineFile,Открытый файл для журналов
MagazineFile Settings,Настройки MagazineFile
MakitaPowerSupply,Настольный блок питания на батарее Makita 18V или блоке питания ноутбука
MakitaPowerSupply Settings,Настройки MakitaPowerSupply
banana_socket_diameter,Диаметр монтажных отверстий для банановых разъёмов
flipswitch_diameter,Диаметр монтажного отверстия для переключателя (отключено, если нет вторичного питания)
secondary_power,Стиль вторичного источника питания
ibm-barrel,IBM-цилиндр
usb-c,USB-C
Matrix,Корпус для матрицы WS2812b
Matrix Settings,Настройки Matrix
led_width,Ширина матрицы светодиодов в пикселях
led_height,Высота матрицы светодиодов в пикселях
pysical_led_y,Ширина печатной платы матрицы светодиодов в мм
pysical_led_x,Высота печатной платы матрицы светодиодов в мм
matrix_back_frame_border,Граница задней рамки для удержания печатной платы, но с учётом вентиляции и прокладки кабелей
matrix_front_frame_border_offset,Смещение передней рамки для крепления оргстекла
distance_between_leds,Расстояние между разделителями цветов. Убедитесь, что ваш станок может резать тонкие структуры.
Height of the matrix,Высота матрицы
height_pcb,Высота печатной платы, включая самые высокие компоненты, кроме светодиодов, в мм
plexiglass_thicknes,Толщина оргстекла в мм
Add mounting holes for the enclosure,Добавить монтажные отверстия для корпуса
mounting_hole_diameter,Диаметр монтажных отверстий в мм
matrix_count_x,Количество модулей по оси X
matrix_count_y,Количество модулей по оси Y
SBCMicroRack,Штабелируемые стойки для компьютеров в стиле Raspberry Pi
SBCMicroRack Settings,Настройки SBCMicroRack
sbcs,Количество слотов для одноплатных компьютеров
clearance_x,Зазор для платы в коробке (по X) в мм
clearance_y,Зазор для платы в коробке (по Y) в мм
clearance_z,Зазор для одноплатного компьютера в мм
hole_dist_edge,Расстояние отверстий от края в мм
hole_grid_dimension_x,Ширина области отверстий по X
hole_grid_dimension_y,Ширина области отверстий по Y
hole_diameter,Диаметр отверстий
netusb_z,Высота отверстия для сети/USB в мм
netusb_x,Ширина отверстия для сети/USB в мм
stable,Нарисовать отверстия для штифта диаметром 1/4 дюйма в основании и верху
switch,Добавить дополнительный вертикальный сегмент для удержания переключателя, лучше работает с параметром stable
NemaMount,Монтажный кронштейн для двигателя NEMA
NemaMount Settings,Настройки NemaMount
Nema size of the motor,Размер двигателя NEMA
NemaPattern,Монтажные отверстия для двигателя NEMA
NemaPattern Settings,Настройки NemaPattern
screwholes,Размер винтовых отверстий в мм - 0 для размера по умолчанию
NightLightBox,Простая декоративная лампа с креативно вырезанными пластинами
NightLightBox Settings,Настройки NightLightBox
BoxStyle,Стиль коробки
minimalist,Минималистский
large face,Большая грань
extra customizable face,Дополнительная настраиваемая грань
PlateVisibleWidth,Ширина окна в передней панели в мм
PlateVisibleHeight,Высота окна в передней панели в мм
WoodPlatesCount,Количество декоративных деревянных пластин
WoodPlateThickness,Толщина деревянных пластин в мм
DiffuserPlateThickness,Толщина акриловой рассеивающей пластины в мм
BackgroundDepth,Глубина зоны для электроники и светодиодов в мм
InterPlateSpacing,Расстояние между декоративными пластинами в мм
Margin for moving parts in mm,Зазор для подвижных частей в мм
Night lightbox diffuser plate lock to prevent unwanted access to the electronics,Замок для рассеивающей пластины ночного светильника для предотвращения несанкционированного доступа к электронике
DiffuserPlateTLockScrewDiameter,Диаметр винтового отверстия для фиксации акриловой рассеивающей пластины в мм
DiffuserPlateTLockScrewLength,Длина фиксирующего винта для акриловой рассеивающей пластины в мм
DiffuserPlateTLockNutThickness,Толщина фиксирующей гайки для акриловой рассеивающей пластины в мм
DiffuserPlateTLockNutWidth,Ширина фиксирующей гайки для акриловой рассеивающей пластины в мм
"Night lightbox options for the back side (holes for connectors, marking)","Опции задней стороны ночного светильника (отверстия для разъёмов, маркировка)"
BackExtraHoles,Дополнительные отверстия для разъёмов или кнопок; вводите по одной строке на отверстие; первый параметр должен быть R для прямоугольника или C для круга; затем координаты X и Y центра отверстия, а затем размеры X и Y прямоугольника или диаметр круга, всё в мм; параметры разделяются пробелами
NotesHolder,Коробка для хранения стопки бумаги, подставок и т. д.
NotesHolder Settings,Настройки NotesHolder
percent of front (or back) that's open,Процент открытой передней (или задней) части
back_openings,Иметь отверстия и на задней стороне
OpenBox,Коробка с открытым верхом и передней частью
OpenBox Settings,Настройки OpenBox
edgetype,Тип края
OrganPipe,Прямоугольная органная труба на основе pipecalc
OrganPipe Settings,Настройки OrganPipe
c#,До диез
d,Ре
d#,Ре диез
f#,Фа диез
g,Соль
g#,Соль диез
a,Ля
a#,Ля диез
b,Си
octave,Октава в международной нотации (2 = До)
intonation,Число интонации. 2 для максимальной эффективности, 3 для максимума
mouthratio,Соотношение рта к окружности (0.1–0.45). Определяет соотношение ширины к глубине
cutup,Соотношение выреза к рту
mensur,Расстояние в полутонах по нормальной мензуре Тёпфера
windpressure,Давление ветра в выбранных единицах
windpressure_units,Единицы давления ветра
in Pa,В паскалях
Pa,Па
mBar,Миллибары
mmHg,Миллиметры ртутного столба
mmH2O,Миллиметры водяного столба
stopped,Труба закрыта сверху
OttoBody,Otto LC - лазерно-вырезанный корпус для Otto DIY - тело
OttoBody Settings,Настройки OttoBody
OttoLegs,Otto LC - лазерно-вырезанный корпус для Otto DIY - ноги
OttoLegs Settings,Настройки OttoLegs
anklebolt1,Диаметр отверстия для болтов лодыжки - сторона стопы
anklebolt2,Диаметр отверстия для болтов лодыжки - сторона ноги
length,Длина ног (минимум 34 мм)
OttoSoles,Пенные подошвы для робота Otto
OttoSoles Settings,Настройки OttoSoles
width of sole stripe,Ширина полоски подошвы
chamfer,Скос на углах
number of soles,Количество подошв
PaintStorage,Штабелируемое хранилище для красок или других предметов
PaintStorage Settings,Настройки PaintStorage
canheight,Высота банок с краской
candiameter,Диаметр банок с краской
minspace,Минимальное расстояние между банками с краской
additional_bottom,Дополнительное дно с отверстиями, через которые проходят банки
additional_top,Дополнительный верх с отверстиями, через которые проходят банки
hexpattern,Использовать шестиугольное расположение отверстий вместо ортогонального
drawer,Создать штабелируемый ящик вместо
PaperBox,Коробка из бумаги с крышкой
PaperBox Settings,Настройки PaperBox
design,Дизайн для оптимизации расхода бумаги. Tuckbox также имеет фиксирующий вырез для крышки
automatic,Автоматический
widebox,Широкая коробка
tuckbox,Коробка с клапаном
lid_height,Высота крышки (часть, которая заходит внутрь коробки)
lid_radius,Угол закругления углов крышки в радианах
lid_sides,Ширина двух сторон, на которые надевается крышка
Margin for the glued sides,Зазор для склеиваемых сторон
mark_length,Длина внешней отметки для складывания
tab_angle_rad,Угол (в радианах) сторон, которые будут склеены внутри коробки
finger_hole_diameter,Диаметр отверстия для захвата крышки
PhoneHolder,Настольный держатель для смартфона
PhoneHolder Settings,Настройки PhoneHolder
phone_height,Высота телефона
phone_width,Ширина телефона
phone_depth,Глубина телефона. Используется для нижней опоры и глубины боковых вкладок. Должна быть не меньше толщины материала для сборки
angle at which the phone stands, in degrees. 0° is vertical.,Угол наклона телефона в градусах. 0° - вертикально
Height of the support below the phone,Высота опоры под телефоном
tab_size,Длина вкладок, удерживающих телефон
bottom_support_spacing,Расстояние между двумя нижними опорами. Выберите значение, достаточное для зарядного кабеля, не мешая другим портам
PhotoFrame,Трёхслойная фоторамка с верхним пазом для вставки картона/акрила/стекла над фотографией после склеивания
PhotoFrame Settings,Настройки PhotoFrame
Width of the photo, not including any border,Ширина фотографии, без учёта рамки
Height of the photo, not including any border,Высота фотографии, без учёта рамки
golden_mat,Использовать золотое сечение для расчёта ширины паспарту
matting_w,Ширина паспарту по бокам фотографии
matting_h,Ширина паспарту сверху и снизу фотографии
matting_overlap,Перекрытие паспарту фотографии, например, 2 мм при наличии рамки, 5 мм без рамки
glass_w,Ширина предварительно нарезанного стекла или акрила
glass_h,Высота предварительно нарезанного стекла или акрила
frame_w,Ширина рамки вокруг паспарту
guide_fudge,Зазор в направляющем кармане для облегчения вставки паспарту/стекла
frame_overlap,Перекрытие рамки для удержания паспарту/стекла
split_front,Разделить переднюю часть на тонкие прямоугольники для экономии материала
PirateChest,Коробка с многоугольной крышкой и сундуковыми петлями
PirateChest Settings,Настройки PirateChest
number of sides on the lid. n ≥ 3,Количество сторон крышки. n ≥ 3
PizzaShovel,Лопатка для пиццы с эффектом конвейерной ленты
PizzaShovel Settings,Настройки PizzaShovel
Length of the grip. Zero for holes for a screw-in handle,Длина рукоятки. Ноль для отверстий под навинчиваемую ручку
grip_height,Высота рукоятки. Расстояние между поперечными балками
top_holes,Диаметр винтовых отверстий в нижней части толкателя - там, где проходят винты
bottom_holes,Диаметр винтовых отверстий в нижней части толкателя - там, где винты держат
grip_holes,Диаметр винтовых отверстий для нулевой длины рукоятки
Planetary,Планетарная передача с возможностью нескольких одинаковых ступеней
Planetary Settings,Настройки Planetary
sunteeth,Количество зубьев на солнечной шестерне
planetteeth,Количество зубьев на планетах
maxplanets,Ограничение количества планет (0 для максимума)
deltateeth,Включить вторичное кольцо с заданной разницей в зубьях
modulus of the theeth in mm,Модуль зубьев в мм
Planetary2,Сбалансированная планетарная передача с разницей сил (ещё не работает должным образом)
Planetary2 Settings,Настройки Planetary2
profile,Профиль зубьев/ремня
40DP,40DP
AT5,AT5
GT2_2mm,GT2_2mm
GT2_3mm,GT2_3mm
GT2_5mm,GT2_5mm
H,H
HTD_3mm,HTD_3mm
HTD_5mm,HTD_5mm
HTD_8mm,HTD_8mm
MXL,MXL
T10,T10
T2_5,T2_5
T5,T5
XL,XL
screw1,Диаметр нижней части винтового отверстия
screw2,Диаметр верхней части винтового отверстия
pinsize,Диаметр выравнивающих штифтов
Platonic,Генератор платоновых тел
Platonic Settings,Настройки Platonic
type,Тип платонова тела
tetrahedron,Тетраэдр
cube,Куб
octahedron,Октаэдр
dodecahedron,Додекаэдр
icosahedro,Икосаэдр
PoleHook,Крюк для крепления к столбу
PoleHook Settings,Настройки PoleHook
diameter of the thing to hook,Диаметр объекта для крепления
screw,Диаметр винта в мм
screwhead,Ширина головки винта в мм
screwheadheight,Высота головки винта в мм
pin,Диаметр штифта в мм
Pulley,Шкивы для ремней разных профилей
Pulley Settings,Настройки Pulley
teeth,Количество зубьев
diameter of the axle,Диаметр оси
insideout,Создать кольцевую шестерню, где ремень прижимается изнутри
overlap of top rim (zero for none),Перекрытие верхнего обода (ноль для отсутствия)
Rack19Box,Закрытая коробка с навинчиваемой крышкой для установки в 19-дюймовую стойку
Rack19Box Settings,Настройки Rack19Box
height in rack units,Высота в стойочных единицах
Rack10Box,Закрытая коробка с навинчиваемой крышкой для установки в 10-дюймовую стойку
Rack10Box Settings,Настройки Rack10Box
Rack19HalfWidth,Полуширокая 19-дюймовая стойка для музыкального оборудования
Rack19HalfWidth Settings,Настройки Rack19HalfWidth
ru_count,Количество стоечных единиц
mounting patterns: x=xlr, m=midi, p=9v-power, w=6.5mm-wire, space=next row,Шаблоны крепления: x=xlr, m=midi, p=9v-питание, w=6.5mm-провод, space=следующий ряд
depth of the shorter (rackear) side,Глубина более короткой (стоечной) стороны
deepz,Глубина более длинной стороны (прикручивается к другой половинной вещи)
RackBox,Стойка для коробок
RackBox Settings,Настройки RackBox
RectangularWall,Простая стенка с опциями для разных краёв
RectangularWall Settings,Настройки RectangularWall
C,Защёлка (верх)
I,Край с петельным штифтом
j,Прямой край с петельным ушком (другой конец)
J,Край с петельным штифтом (другой конец)
K,Край с
