msgid,msgstr
\n^_^This box is designed as a housing for electronic projects. It has hatches ^_^that can be re-opened with simple tools. It intentionally cannot be opened ^_^with bare hands - if build with thin enough material.\n^_^\n^_^#### Caution\n^_^There is a chance that the latches of the back wall or the back wall itself ^_^interfere with the front panel or its mounting frame/lips. The generator ^_^does not check for this. So depending on the variant chosen you might need ^_^to make the box deeper (increase y parameter) or the panel angle steeper ^_^(increase angle parameter) until there is enough room.\n^_^\n^_^It's also possible that the frame of the panel interferes with the floor if ^_^the hi parameter is too small.\n^_^\n^_^#### Assembly instructions\n^_^The main body is easy to assemble by starting with the floor and then adding ^_^the four walls and (if present) the top piece.\n^_^\n^_^If the back wall is removable you need to add the lips and latches. The U-^_^shaped clamps holding the latches in place need to be clued in place without ^_^also gluing the latches themselves. Make sure the springs on the latches ^_^point inwards and the angled ends point to the side walls as shown here:\n^_^\n^_^![Back wall details](static/samples/Console2-backwall-detail.jpg)\n^_^\n^_^If the panel is removable you need to add the springs with the tabs to the ^_^side lips. This photo shows the variant which has the panel glued to the ^_^frame:\n^_^\n^_^![Back wall details](static/samples/Console2-panel-detail.jpg)\n^_^\n^_^If space is tight you may consider not gluing the cross pieces in place and ^_^remove them after the glue-up. This may prevent the latches of the back wall ^_^and the panel from interfering with each other.\n^_^\n^_^The variant using finger joints only has the two side lips without the cross ^_^bars.\n^_^\n^_^#### Re-Opening\n^_^\n^_^The latches at the back wall lock in place when closed. To open them they ^_^need to be pressed in and can then be moved aside.\n^_^\n^_^To remove the panel you have to press in the four tabs at the side. It is ^_^easiest to push them in and then pull the panel up a little bit so the tabs ^_^stay in.\n,"\n^_^Эта коробка предназначена для размещения электронных проектов. В ней есть лючки, которые можно открыть простыми инструментами. Специально сделано так, чтобы нельзя было открыть голыми руками — если использовать достаточно тонкий материал.\n^_^\n^_^#### Внимание\n^_^Есть вероятность, что защёлки задней стенки или сама задняя стенка будут мешать передней панели или её креплению/язычкам. Генератор это не проверяет. Поэтому в зависимости от выбранного варианта, возможно, потребуется сделать коробку глубже (увеличить параметр y) или сделать угол панели круче (увеличить параметр angle), чтобы освободить место.\n^_^\n^_^Также возможно, что рама панели будет мешать полу, если параметр hi слишком мал.\n^_^\n^_^#### Инструкция по сборке\n^_^Основная часть легко собирается, начиная с пола, затем добавляются четыре стенки и (если есть) верхняя часть.\n^_^\n^_^Если задняя стенка съёмная, нужно добавить язычки и защёлки. U-образные зажимы, удерживающие защёлки, нужно приклеить, не приклеивая сами защёлки. Убедитесь, что пружины на защёлках направлены внутрь, а скошенные концы — к боковым стенкам, как показано здесь:\n^_^\n^_^![Детали задней стенки](static/samples/Console2-backwall-detail.jpg)\n^_^\n^_^Если панель съёмная, нужно добавить пружины с язычками к боковым язычкам. На фото показан вариант, где панель приклеена к раме:\n^_^\n^_^![Детали задней стенки](static/samples/Console2-panel-detail.jpg)\n^_^\n^_^Если мало места, можно не приклеивать поперечные детали и убрать их после склейки. Это может предотвратить помехи между защёлками задней стенки и панели.\n^_^\n^_^Вариант с только шиповым соединением имеет только два боковых язычка без поперечных планок.\n^_^\n^_^#### Повторное открытие\n^_^\n^_^Защёлки на задней стенке фиксируются при закрытии. Чтобы их открыть, нужно нажать и отвести в сторону.\n^_^\n^_^Чтобы снять панель, нужно нажать на четыре язычка по бокам. Проще всего нажать их и немного приподнять панель, чтобы язычки остались внутри.\n"
"Text to be engraved can be generated by inputting the label and fontsize\n^_^fields. height represents the area that can be used for writing text,\n^_^does not match the actual height when standing. Generated text is put\n^_^in the center and can be adjusted using the vertical text offset.\n^_^Empty lines will affect the placement.","Текст для гравировки можно сгенерировать, введя поля метки и размера шрифта\n^_^height обозначает область, которую можно использовать для текста,\n^_^она не совпадает с фактической высотой в вертикальном положении. Сгенерированный текст размещается\n^_^по центру и может быть скорректирован с помощью вертикального смещения текста.\n^_^Пустые строки повлияют на размещение."
mirrors one of the stand so the same side of the material can be placed on ^_^the outside,"отражает одну из подставок, чтобы одна и та же сторона материала была снаружи"
Feel free to add a shallow ABox as a container for catching the dice so they ^_^don't scatter across the table.\n^_^\n^_^You can also configure the DiceTower and change the number and angle of the ^_^ramps.\n,"Вы можете добавить неглубокую коробку ABox в качестве контейнера для сбора кубиков, чтобы они не разлетались по столу.\n^_^\n^_^Также можно настроить DiceTower и изменить количество и угол наклона рамп.\n"
Set *bottomheight* to 0 for a wall mounting variant.\n^_^Please add mounting holes yourself.,"Установите *bottomheight* в 0 для настенного варианта.\n^_^Пожалуйста, добавьте монтажные отверстия самостоятельно."
Fully closed box intended to be cut from transparent acrylics and to serve ^_^as a display case.,"Полностью закрытая коробка, предназначенная для вырезания из прозрачного акрила и использования в качестве витрины."
\n^_^Adding '0:' at the start of the sy parameter adds a slot at the very back. ^_^Adding ':0' at the end of sy adds a slot meeting the bottom at the very ^_^front. This is especially useful if slot angle is set above zero.\n^_^\n^_^There are 4 different sets of dividers rendered:\n^_^\n^_^* With asymmetric tabs so the tabs fit on top of each other\n^_^* With tabs of half wall thickness that can go side by side\n^_^* With tabs of a full wall thickness\n^_^* One single divider spanning across all columns\n^_^\n^_^You will likely need to cut each of the dividers you want multiple times.\n,"\n^_^Добавление '0:' в начале параметра sy добавляет паз в самом конце. Добавление ':0' в конце sy добавляет паз, соединяющийся с дном спереди. Это особенно полезно, если угол паза больше нуля.\n^_^\n^_^Рендерятся 4 разных набора перегородок:\n^_^\n^_^* С асимметричными язычками, чтобы язычки накладывались друг на друга\n^_^* С язычками толщиной в половину стенки, чтобы они могли идти рядом\n^_^* С язычками полной толщины стенки\n^_^* Одна перегородка, проходящая через все колонки\n^_^\n^_^Вам, вероятно, потребуется вырезать каждую нужную перегородку несколько раз.\n"
extra slack (in addition to thickness and kerf) to help insert dividers in mm,дополнительный зазор (к толщине и ширине реза) для облегчения вставки перегородок в мм
Note: `sh` gives the height of the rows front to back. It though should have ^_^the same number of entries as `sy`. These heights are the one on the left ^_^side and increase throughout the row. To have each compartment a bit higher ^_^than the previous one the steps in `sh` should be a bit bigger than ^_^`extra_height`.\n^_^\n^_^Assembly:\n^_^\n^_^![Parts](static/samples/DrillStand-drawing.png)\n^_^\n^_^Start with putting the slots of the inner walls together. Be especially ^_^careful with adding the bottom. It is always asymmetrical and flush with the ^_^right/lower side while being a little short on the left/higher side to not ^_^protrude into the side wall.\n^_^\n^_^|      |      |\n^_^| ---- | ---- |\n^_^| ![Assembly inner walls](static/samples/DrillStand-assembly-1.jpg) | !^_^[Assembly bottom](static/samples/DrillStand-assembly-2.jpg) |\n^_^| Then add the front and the back wall. | Add the very left and right walls ^_^last. |\n^_^| ![Assembly front and back](static/samples/DrillStand-assembly-3.jpg) | !^_^[Assembly side walls](static/samples/DrillStand-assembly-4.jpg) |\n,"Примечание: `sh` задаёт высоту рядов спереди назад. Должно быть столько же значений, сколько и в `sy`. Эти высоты соответствуют левой стороне и увеличиваются по ряду. Чтобы каждый отсек был чуть выше предыдущего, шаги в `sh` должны быть немного больше, чем ^_^`extra_height`.\n^_^\n^_^Сборка:\n^_^\n^_^![Детали](static/samples/DrillStand-drawing.png)\n^_^\n^_^Начните со сборки пазов внутренних стенок. Будьте особенно внимательны при установке дна. Оно всегда асимметрично и заподлицо с правой/нижней стороной, а с левой/верхней немного короче, чтобы не выступать за боковую стенку.\n^_^\n^_^|      |      |\n^_^| ---- | ---- |\n^_^| ![Сборка внутренних стенок](static/samples/DrillStand-assembly-1.jpg) | !^_^[Сборка дна](static/samples/DrillStand-assembly-2.jpg) |\n^_^| Затем добавьте переднюю и заднюю стенки. | Самые левые и правые стенки добавьте в конце. |\n^_^| ![Сборка передней и задней стенок](static/samples/DrillStand-assembly-3.jpg) | !^_^[Сборка боковых стенок](static/samples/DrillStand-assembly-4.jpg) |\n"
"\n^_^### Description\n^_^Fat balls are quite common to feed tits. Here you can build a dispenser that ^_^protects\n^_^the fat balls from rain and snow. The design was tested using 4mm plywood ^_^for the\n^_^main structural parts. For the spacer of the locking mechanism two layers of ^_^3mm\n^_^plywood have been stacked. The poles were made from 8mm diameter beech rod ^_^and 19cm\n^_^in length. Some basic consistency checks have been made for different ^_^numbers, but\n^_^only the defaults have ever been built.\n^_^\n^_^The final dispenser consists of two parts which slide into each other. You ^_^can mount\n^_^a hook to hang it into a tree. All edges that have angles different from 90 ^_^degrees (chamfers)\n^_^have engraved guiding lines which indicate the angle. You have to sand the ^_^edge such\n^_^that the pieces fit together.\n^_^\n^_^The top part (roof) consists of the the following elements for a N sided ^_^dispenser:\n^_^\n^_^  * The N sided roof bottom plate which supports the roof tiles. It has a ^_^central cut out\n^_^    which is needed for assembly and on the bottom side an engraved line ^_^which indicates the\n^_^    position of the mounting bracket.\n^_^  * N triangles forming the roof. They also have a small arc at the tip ^_^(roof_hole_diameter)\n^_^  which acts as a drilling guide if you want to mount a hook.\n^_^  * The N sided roof support piece which has a central hole for the hook. It ^_^is been mounted\n^_^  to the roof tiles through the hole in the roof bottom plate to support the ^_^roof\n^_^  tiles and acts as a mounting plate for the hook.\n^_^  * Spacer(s); in the reference builds 2 spacers using 3mm plywood have been ^_^used. The spacer\n^_^  needs to be a bit thicker than the ceiling (see below). That's the ^_^smaller\n^_^  \""U\"" shaped part which is glued to the bottom side of the roof bottom ^_^plate.\n^_^  * The bracket is also \""U\"" shaped and a bit wider than the spacer. This ^_^is glued to the\n^_^  bottom of the spacer and holds the cage (bottom part).\n^_^\n^_^The bottom part (cage) consists of the follwoing elements:\n^_^\n^_^  * The ceiling is N sided with the central refill hole and N smaller holes ^_^into which\n^_^  the poles are fitted.\n^_^  * The N sided floor part with finger joints for the balcony walls and ^_^holes for\n^_^  the poles. A central hole to drain rain water can be added as well.\n^_^  * N balcony walls surrounding the floor.\n^_^  * N poles that join floor and ceiling (not part of the drawing)\n^_^\n^_^Other parts needed for assembly:\n^_^\n^_^  * Wooden rod (N times the length of the poles).\n^_^  * A hook (e.g. M5x50mm)\n^_^  * A washer to distribute the load of the hook to the support piece\n^_^  * One or two nuts to secure the hook\n^_^  * Optional, a pice of wire mesh\n^_^\n^_^Assembly:\n^_^\n^_^  * Sand all chamfers\n^_^  * Glue balcony walls to the floor\n^_^  * Glue pairs of roof tiles and use the roof bottom plate as a jig, Hot ^_^glue may be used to\n^_^    tack the parts.\n^_^  * Glue all roof tiles to form the roof\n^_^  * Glue spacer(s) and the bracket into a stack\n^_^  * Glue roof tiles to the roof bottom plate and attach the support piece\n^_^  * Glue the stack to the roof bottom plate\n^_^  * Cut the poles to length\n^_^  * If you want to use multiple colors paint now, otherwise you also can ^_^paint later\n^_^  * After painting you may need to get the paint out of the pole holes again ^_^using a drillbit\n^_^  * Glue the poles into floor plate and ceiling\n^_^  * Attach the hanger\n^_^  * Attach the wire mesh\n^_^    ","\n^_^### Описание\n^_^Жирные шарики часто используются для кормления синиц. Здесь вы можете сделать кормушку, которая защищает\n^_^шарики от дождя и снега. Конструкция была протестирована с использованием фанеры 4 мм для\n^_^основных деталей. Для проставки в механизме блокировки использовались два слоя фанеры 3 мм.\n^_^Стойки были сделаны из букового прута диаметром 8 мм и длиной 19 см.\n^_^Проведены базовые проверки для разных количеств, но собраны только стандартные варианты.\n^_^\n^_^Готовая кормушка состоит из двух частей, которые вставляются друг в друга. Можно\n^_^прикрепить крючок для подвешивания на дерево. Все края с углами, отличными от 90 градусов (фаски),\n^_^имеют гравированные линии, указывающие угол. Края нужно зашлифовать,\n^_^чтобы детали хорошо подошли друг к другу.\n^_^\n^_^Верхняя часть (крыша) состоит из следующих элементов для N-угольной кормушки:\n^_^\n^_^  * Нижняя пластина крыши с N сторонами, поддерживающая черепицу. В центре есть вырез\n^_^    для сборки, а на нижней стороне — гравированная линия, указывающая\n^_^    положение крепления.\n^_^  * N треугольников, формирующих крышу. На кончике есть небольшая дуга (roof_hole_diameter),\n^_^  которая служит направляющей для сверления, если нужно прикрепить крючок.\n^_^  * Опорная деталь крыши с N сторонами и центральным отверстием для крючка. Она крепится\n^_^  к черепице через отверстие в нижней пластине крыши и служит опорой для черепицы\n^_^  и креплением для крючка.\n^_^  * Проставки; в эталонных сборках использовались 2 проставки из фанеры 3 мм. Проставка\n^_^  должна быть немного толще потолка (см. ниже). Это меньшая\n^_^  U-образная деталь, которая приклеивается к нижней стороне нижней пластины крыши.\n^_^  * Кронштейн также U-образный и немного шире проставки. Он приклеивается\n^_^  к низу проставки и удерживает клетку (нижнюю часть).\n^_^\n^_^Нижняя часть (клетка) состоит из следующих элементов:\n^_^\n^_^  * Потолок с N сторонами, центральным отверстием для заправки и N малыми отверстиями\n^_^  для установки стоек.\n^_^  * Нижняя часть с N сторонами, шипами для балконных стенок и отверстиями для\n^_^  стоек. Также можно добавить центральное отверстие для слива дождевой воды.\n^_^  * N балконных стенок по периметру пола.\n^_^  * N стоек, соединяющих пол и потолок (не показаны на рисунке)\n^_^\n^_^Другие детали для сборки:\n^_^\n^_^  * Деревянный прут (N раз по длине стоек).\n^_^  * Крючок (например, M5x50мм)\n^_^  * Шайба для распределения нагрузки от крючка на опорную деталь\n^_^  * Одна-две гайки для фиксации крючка\n^_^  * По желанию — кусок проволочной сетки\n^_^\n^_^Сборка:\n^_^\n^_^  * Зашлифуйте все фаски\n^_^  * Приклейте балконные стенки к полу\n^_^  * Склейте пары черепиц и используйте нижнюю пластину крыши как шаблон, можно использовать горячий клей\n^_^    для временной фиксации\n^_^  * Склейте все черепицы, чтобы сформировать крышу\n^_^  * Склейте проставки и кронштейн в стопку\n^_^  * Приклейте черепицы к нижней пластине крыши и прикрепите опорную деталь\n^_^  * Приклейте стопку к нижней пластине крыши\n^_^  * Обрежьте стойки по длине\n^_^  * Если хотите использовать несколько цветов — покрасьте сейчас, иначе можно покрасить позже\n^_^  * После покраски, возможно, потребуется очистить отверстия для стоек сверлом\n^_^  * Вклейте стойки в пол и потолок\n^_^  * Прикрепите подвес\n^_^  * Прикрепите проволочную сетку\n^_^    "
The diameter of the fat balls. Give some extra mm to make it a loose fit,Диаметр жирных шариков. Добавьте несколько мм для свободного размещения
The diameter of the hole of the floor (to drain rainwater)\n^_^                    in mm. Set to 0 if you don't need it.,Диаметр отверстия в полу (для слива дождевой воды)\n^_^                    в мм. Установите 0, если не нужно.
The minimum distance between a pole and the central\n^_^                    refill hole in the ceiling in mm.,Минимальное расстояние между стойкой и центральным\n^_^                    отверстием для заправки в потолке в мм.
The gap between the parts that slide into each other\n^_^                    in the locking mechanism in mm.,Зазор между деталями, которые входят друг в друга\n^_^                    в механизме блокировки, в мм.
The fraction of the pole clearance which is being used for\n^_^                    the locking mechanism.,Доля зазора стойки, используемая для\n^_^                    механизма блокировки.
The diameter of the hole of the roof in mm.\n^_^                    Set to 0 if you don't want to attach a hanger.,Диаметр отверстия в крыше в мм.\n^_^                    Установите 0, если не хотите крепить подвес.
The distance from on bottom corner of the roof to the maintenance hole in mm.,Расстояние от нижнего угла крыши до сервисного отверстия в мм.
"\n^_^Use small nails to properly align the pieces of the bayonet latch. Glue the ^_^parts of the bayonet latch before assembling the \""axle\"". The inner parts ^_^go at the side and the outer parts at the inside of the axle.\n^_^![opened spool](static/samples/FilamentSpool-2.jpg)","\n^_^Используйте маленькие гвозди для правильного совмещения деталей байонетного замка. Склейте ^_^детали байонетного замка до сборки \"оси\". Внутренние части ^_^идут по бокам, а внешние — внутри оси.\n^_^![открытая катушка](static/samples/FilamentSpool-2.jpg)"
"\n^_^If you have an enclosure, arrange the living hinge to be as close to your ^_^extractor fan as possible.\n^_^\n^_^![Open](static/samples/FlexBook-2.jpg)","\n^_^Если у вас есть корпус, расположите гибкую петлю как можно ближе к вытяжному вентилятору.\n^_^\n^_^![Открыто](static/samples/FlexBook-2.jpg)"
"\n^_^<script type=\""module\"" src=\""https://md-block.verou.me/md-block.js\""></^_^script>\n^_^<md-block>\n^_^\n^_^\n^_^This will help you create font (and side and top) panels for your\n^_^boxes that are pre-configured for all the bits and bobs you'd like to\n^_^install\n^_^\n^_^    The layout can create several types of holes including rectangles,\n^_^    circles and mounting holes.  The default shows an example layout with ^_^all\n^_^    currently supported objects.\n^_^\n^_^####\n^_^`rect x y w h [cr=0] [cx=True] [cy=True]`\n^_^\n^_^     x: x position\n^_^     y: y position\n^_^     w: width\n^_^     h: height\n^_^    cr: optional, Corner radius, default=0\n^_^    cx: optional, Center x.  the x position denotes the center of the ^_^rectangle.\n^_^        accepts t, T, 1, or other true-like values.\n^_^    cy: optional, Center y.  the y position denotes the center of the ^_^rectangle.\n^_^\n^_^#### outline\n^_^`rect w h`\n^_^\n^_^    w: width\n^_^    h: height\n^_^\n^_^`outline` has a special meaning: You can create multiple panel outlines with ^_^one command.\n^_^This has the effect of making it easy to manage all the holes on all the ^_^sides of\n^_^your boxes.\n^_^\n^_^#### circle\n^_^`circle x y r`\n^_^\n^_^    x: x position\n^_^    y: y position\n^_^    r: radius\n^_^\n^_^#### mountinghole\n^_^mountinghole x y d_shaft [d_head=0] [angle=0]\n^_^\n^_^          x: x position\n^_^          y: y position\n^_^    d_shaft: diameter of the shaft part of the mounting hole\n^_^     d_head: optional. diameter of the head\n^_^      angle: optional. angle of the mounting hole\n^_^\n^_^#### text\n^_^`text x y size \""some text\"" [angle=0] [align=bottom|left]`\n^_^\n^_^        x: x position\n^_^        y: y position\n^_^     size: size, in mm\n^_^     text: text to render.  This *must* be in quotation marks\n^_^    angle: angle (in degrees)\n^_^    align: string with combinations of (top|middle|bottom) and (left|center|^_^right),\n^_^           separated by '|'.  Default is 'bottom|left'\n^_^\n^_^\n^_^\n^_^#### nema\n^_^`nema x y size [screwhole_size=0]`\n^_^\n^_^        x: x position (center of shaft)\n^_^        y: y position (center of shaft)\n^_^     size: nema size.  One of [8, 11, 14, 16, 17, 23, 24, 34, 42]\n^_^    screw: screw size, in mm.  Optional.  Default=0, which means the default ^_^size\n^_^</md-block>\n^_^    ","\n^_^<script type=\""module\"" src=\""https://md-block.verou.me/md-block.js\""></^_^script>\n^_^<md-block>\n^_^\n^_^\n^_^Это поможет вам создать передние (и боковые, и верхние) панели для ваших\n^_^коробок, которые предварительно настроены для всех деталей, которые вы хотели бы\n^_^установить\n^_^\n^_^    Макет может создавать несколько типов отверстий, включая прямоугольники,\n^_^    круги и монтажные отверстия. По умолчанию показан пример макета со ^_^всеми\n^_^    поддерживаемыми в настоящее время объектами.\n^_^\n^_^####\n^_^`rect x y w h [cr=0] [cx=True] [cy=True]`\n^_^\n^_^     x: позиция x\n^_^     y: позиция y\n^_^     w: ширина\n^_^     h: высота\n^_^    cr: необязательно, радиус углов, по умолчанию=0\n^_^    cx: необязательно, центр x. позиция x обозначает центр ^_^прямоугольника.\n^_^        принимает t, T, 1 или другие истинные значения.\n^_^    cy: необязательно, центр y. позиция y обозначает центр ^_^прямоугольника.\n^_^\n^_^#### outline\n^_^`rect w h`\n^_^\n^_^    w: ширина\n^_^    h: высота\n^_^\n^_^`outline` имеет особое значение: Вы можете создать несколько контуров панелей с помощью ^_^одной команды.\n^_^Это упрощает управление всеми отверстиями на всех ^_^сторонах\n^_^ваших коробок.\n^_^\n^_^#### circle\n^_^`circle x y r`\n^_^\n^_^    x: позиция x\n^_^    y: позиция y\n^_^    r: радиус\n^_^\n^_^#### mountinghole\n^_^mountinghole x y d_shaft [d_head=0] [angle=0]\n^_^\n^_^          x: позиция x\n^_^          y: позиция y\n^_^    d_shaft: диаметр части стержня монтажного отверстия\n^_^     d_head: необязательно. диаметр головки\n^_^      angle: необязательно. угол монтажного отверстия\n^_^\n^_^#### text\n^_^`text x y size \""some text\"" [angle=0] [align=bottom|left]`\n^_^\n^_^        x: позиция x\n^_^        y: позиция y\n^_^     size: размер, в мм\n^_^     text: текст для отображения. Это *должно* быть в кавычках\n^_^    angle: угол (в градусах)\n^_^    align: строка с комбинациями (top|middle|bottom) и (left|center|^_^right),\n^_^           разделенными '|'. По умолчанию 'bottom|left'\n^_^\n^_^\n^_^\n^_^#### nema\n^_^`nema x y size [screwhole_size=0]`\n^_^\n^_^        x: позиция x (центр вала)\n^_^        y: позиция y (центр вала)\n^_^     size: размер nema. Один из [8, 11, 14, 16, 17, 23, 24, 34, 42]\n^_^    screw: размер винта, в мм. Необязательно. По умолчанию=0, что означает размер ^_^по умолчанию\n^_^</md-block>\n^_^    "
"This is a configurable gridfinity base.  This\n^_^    design is based on\n^_^    <a href=\""https://www.youtube.com/watch?app=desktop&v=ra_9zU-mnl8\"">Zach ^_^Freedman's Gridfinity system</a>","Это настраиваемая основа gridfinity. Данный\n^_^    дизайн основан на\n^_^    <a href=\""https://www.youtube.com/watch?app=desktop&v=ra_9zU-mnl8\"">системе Gridfinity ^_^Зака Фридмана</a>"
Extra margin around the gridfinity base to allow it to drop into the carrier ^_^(mm),"Дополнительный отступ вокруг основы gridfinity, чтобы она могла поместиться в носитель ^_^(мм)"
"\n^_^This is a general purpose gridfinity tray generator.  You can create\n^_^somewhat arbitrarily shaped trays, or just do nothing for simple grid\n^_^shaped trays.\n^_^\n^_^The dimensions are automatically calculated to fit perfectly into a\n^_^gridfinity grid (like the GridfinityBase, or any other Gridfinity\n^_^based base).\n^_^\n^_^Edit the layout text graphics to adjust your tray.\n^_^You can replace the hyphens and vertical bars representing the walls\n^_^with a space character to remove the walls.  You can replace the space\n^_^characters representing the floor by a \""X\"" to remove the floor for\n^_^this compartment.\n","\n^_^Это универсальный генератор лотков gridfinity. Вы можете создать\n^_^лотки произвольной формы или просто ничего не делать для простых\n^_^лотков в виде сетки.\n^_^\n^_^Размеры автоматически рассчитываются для идеального размещения в\n^_^сетке gridfinity (например, GridfinityBase или любой другой основе\n^_^на базе Gridfinity).\n^_^\n^_^Отредактируйте графику макета текста, чтобы настроить ваш лоток.\n^_^Вы можете заменить дефисы и вертикальные полосы, представляющие стены,\n^_^символом пробела, чтобы удалить стены. Вы можете заменить символы\n^_^пробела, представляющие пол, символом \""X\"", чтобы удалить пол для\n^_^этого отделения.\n",
inner height of inner walls in mm (leave to zero for same as outer walls ^_^with optional reduction for stacking),"внутренняя высота внутренних стен в мм (оставить равной нулю для такой же, как наружные стены ^_^с необязательным уменьшением для штабелирования)"
You need to add a hole pattern to all horizontal layers except the very ^_^bottom,"Вам нужно добавить узор отверстий ко всем горизонтальным слоям, кроме самого ^_^низа"
"This is a two step process. This is step 2.\n^_^Edit the layout text graphics to adjust your tray.\n^_^Put in the sizes for each column and row. You can replace the hyphens and\n^_^vertical bars representing the walls with a space character to remove the ^_^walls.\n^_^You can replace the space characters representing the floor by a \""X\"" to ^_^remove the floor for this compartment.\n","Это двухэтапный процесс. Это этап 2.\n^_^Отредактируйте графику макета текста, чтобы настроить ваш лоток.\n^_^Введите размеры для каждого столбца и строки. Вы можете заменить дефисы и\n^_^вертикальные полосы, представляющие стены, символом пробела, чтобы удалить\n^_^стены.\n^_^Вы можете заменить символы пробела, представляющие пол, символом \""X\"", чтобы\n^_^удалить пол для этого отделения.\n"
"Configurable half of a box which can be: a bookend, a hanging shelf, an ^_^angle clamping jig, ...","Настраиваемая половина коробки, которая может быть: подставкой для книг, подвесной полкой, ^_^угловым зажимным приспособлением, ..."
This can be used to create:\n^_^\n^_^* a hanging shelf:\n^_^![HalfBox as hanging shelf](static/samples/HalfBox_Shelf_usage.jpg)\n^_^\n^_^* an angle clamping jig:\n^_^![HalfBox as an angle clamping jig](static/samples/^_^HalfBox_AngleJig_usage.jpg)\n^_^\n^_^* a bookend:\n^_^![HalfBox as a bookend](static/samples/HalfBox_Bookend_usage.jpg)\n^_^\n^_^and many more...\n^_^\n,"Это может быть использовано для создания:\n^_^\n^_^* подвесной полки:\n^_^![HalfBox как подвесная полка](static/samples/HalfBox_Shelf_usage.jpg)\n^_^\n^_^* углового зажимного приспособления:\n^_^![HalfBox как угловое зажимное приспособление](static/samples/^_^HalfBox_AngleJig_usage.jpg)\n^_^\n^_^* подставки для книг:\n^_^![HalfBox как подставка для книг](static/samples/HalfBox_Bookend_usage.jpg)\n^_^\n^_^и многое другое...\n^_^\n"
Needs (metal) pins as hinge axles. Pieces of nails will\n^_^do fine. They need to be cut to length as they are captured as soon as the\n^_^hinges are assembled.\n^_^\n^_^Assemble the box and the lid separately. Then insert the axle into the ^_^hinges.\n^_^Then attach the hinges on the inside of the box and then connect them to ^_^lid.\n,"Нужны (металлические) штифты в качестве осей петель. Куски гвоздей\n^_^подойдут. Их нужно обрезать по длине, поскольку они фиксируются сразу же, как\n^_^петли собираются.\n^_^\n^_^Соберите коробку и крышку отдельно. Затем вставьте ось в ^_^петли.\n^_^Затем прикрепите петли внутри коробки и затем соедините их с ^_^крышкой.\n"
A case that can be used in any hobby involving small pieces in need of ^_^organizing.,"Футляр, который может быть использован в любом хобби, связанном с мелкими деталями, нуждающимися в ^_^организации."
"\n^_^The hobby case is defined by units, \""cells\"" of the case.\n^_^You define depth, height and widths of the cells.\n^_^By combining dimensions with number of columns and rows slots for shelves ^_^are generated.\n^_^Slots can be populated by:\n^_^\n^_^* shelves (horizontal piece of plywood that covers full width and depth of ^_^the column. You can put anything on them, but they also provide some ^_^structural integrity. It is recommended to have a least one shelve every 2-4 ^_^slots (depending on the unit height)\n^_^* rails (3 horizontal pieces that stick out of the side and back walls of ^_^the column. They can be used to allow taller things placed on shelves below, ^_^but also some sliding drawers can be put in them.\n","\n^_^Хобби-футляр определяется единицами, \""ячейками\"" футляра.\n^_^Вы определяете глубину, высоту и ширину ячеек.\n^_^Комбинируя размеры с количеством столбцов и строк, создаются слоты для полок.\n^_^Слоты могут быть заполнены:\n^_^\n^_^* полками (горизонтальный кусок фанеры, который покрывает всю ширину и глубину ^_^столбца. Вы можете положить на них что угодно, но они также обеспечивают некоторую ^_^структурную целостность. Рекомендуется иметь как минимум одну полку каждые 2-4 ^_^слота (в зависимости от высоты единицы)\n^_^* направляющими (3 горизонтальных куска, которые выступают из боковых и задних стенок ^_^столбца. Они могут использоваться для размещения более высоких вещей на полках ниже, ^_^но также в них можно поместить некоторые выдвижные ящики.\n"
Create pieces larger than your laser cutter by joining them with Dove Tails,"Создавайте детали больше, чем ваш лазерный резак, соединяя их 'ласточкиным хвостом'"
