msgid,msgstr
\n%$$%This box is designed as a housing for electronic projects. It has hatches %$$%that can be re-opened with simple tools. It intentionally cannot be opened %$$%with bare hands - if build with thin enough material.\n%$$%\n%$$%#### Caution\n%$$%There is a chance that the latches of the back wall or the back wall itself %$$%interfere with the front panel or its mounting frame/lips. The generator %$$%does not check for this. So depending on the variant chosen you might need %$$%to make the box deeper (increase y parameter) or the panel angle steeper %$$%(increase angle parameter) until there is enough room.\n%$$%\n%$$%It's also possible that the frame of the panel interferes with the floor if %$$%the hi parameter is too small.\n%$$%\n%$$%#### Assembly instructions\n%$$%The main body is easy to assemble by starting with the floor and then adding %$$%the four walls and (if present) the top piece.\n%$$%\n%$$%If the back wall is removable you need to add the lips and latches. The U-%$$%shaped clamps holding the latches in place need to be clued in place without %$$%also gluing the latches themselves. Make sure the springs on the latches %$$%point inwards and the angled ends point to the side walls as shown here:\n%$$%\n%$$%![Back wall details](static/samples/Console2-backwall-detail.jpg)\n%$$%\n%$$%If the panel is removable you need to add the springs with the tabs to the %$$%side lips. This photo shows the variant which has the panel glued to the %$$%frame:\n%$$%\n%$$%![Back wall details](static/samples/Console2-panel-detail.jpg)\n%$$%\n%$$%If space is tight you may consider not gluing the cross pieces in place and %$$%remove them after the glue-up. This may prevent the latches of the back wall %$$%and the panel from interfering with each other.\n%$$%\n%$$%The variant using finger joints only has the two side lips without the cross %$$%bars.\n%$$%\n%$$%#### Re-Opening\n%$$%\n%$$%The latches at the back wall lock in place when closed. To open them they %$$%need to be pressed in and can then be moved aside.\n%$$%\n%$$%To remove the panel you have to press in the four tabs at the side. It is %$$%easiest to push them in and then pull the panel up a little bit so the tabs %$$%stay in.\,\n%$$%Эта коробка предназначена для размещения электронных проектов. В ней есть лючки, которые можно открыть простыми инструментами. Специально сделано так, чтобы нельзя было открыть голыми руками — если использовать достаточно тонкий материал.\n%$$%\n%$$%#### Внимание\n%$$%Есть вероятность, что защёлки задней стенки или сама задняя стенка будут мешать передней панели или её креплению/язычкам. Генератор это не проверяет. Поэтому в зависимости от выбранного варианта, возможно, потребуется сделать коробку глубже (увеличить параметр y) или сделать угол панели круче (увеличить параметр angle), чтобы освободить место.\n%$$%\n%$$%Также возможно, что рама панели будет мешать полу, если параметр hi слишком мал.\n%$$%\n%$$%#### Инструкция по сборке\n%$$%Основная часть легко собирается, начиная с пола, затем добавляются четыре стенки и (если есть) верхняя часть.\n%$$%\n%$$%Если задняя стенка съёмная, нужно добавить язычки и защёлки. U-образные зажимы, удерживающие защёлки, нужно приклеить, не приклеивая сами защёлки. Убедитесь, что пружины на защёлках направлены внутрь, а скошенные концы — к боковым стенкам, как показано здесь:\n%$$%\n%$$%![Детали задней стенки](static/samples/Console2-backwall-detail.jpg)\n%$$%\n%$$%Если панель съёмная, нужно добавить пружины с язычками к боковым язычкам. На фото показан вариант, где панель приклеена к раме:\n%$$%\n%$$%![Детали задней стенки](static/samples/Console2-panel-detail.jpg)\n%$$%\n%$$%Если мало места, можно не приклеивать поперечные детали и убрать их после склейки. Это может предотвратить помехи между защёлками задней стенки и панели.\n%$$%\n%$$%Вариант с только шиповым соединением имеет только два боковых язычка без поперечных планок.\n%$$%\n%$$%#### Повторное открытие\n%$$%\n%$$%Защёлки на задней стенке фиксируются при закрытии. Чтобы их открыть, нужно нажать и отвести в сторону.\n%$$%\n%$$%Чтобы снять панель, нужно нажать на четыре язычка по бокам. Проще всего нажать их и немного приподнять панель, чтобы язычки остались внутри.\
"Text to be engraved can be generated by inputting the label and fontsize\n%$$%fields. height represents the area that can be used for writing text,\n%$$%does not match the actual height when standing. Generated text is put\n%$$%in the center and can be adjusted using the vertical text offset.\n%$$%Empty lines will affect the placement", "Текст для гравировки можно сгенерировать, введя поля метки и размера шрифта\n%$$%height обозначает область, которую можно использовать для текста,\n%$$%она не совпадает с фактической высотой в вертикальном положении. Сгенерированный текст размещается\n%$$%по центру и может быть скорректирован с помощью вертикального смещения текста.\n%$$%Пустые строки повлияют на размещение"
mirrors one of the stand so the same side of the material can be placed on %$$%the outsid,отражает одну из подставок, чтобы одна и та же сторона материала была снаружи
Feel free to add a shallow ABox as a container for catching the dice so they %$$%don't scatter across the table.\n%$$%\n%$$%You can also configure the DiceTower and change the number and angle of the %$$%ramps.\,Вы можете добавить неглубокую коробку ABox в качестве контейнера для сбора кубиков, чтобы они не разлетались по столу.\n%$$%\n%$$%Также можно настроить DiceTower и изменить количество и угол наклона рамп.\
Set *bottomheight* to 0 for a wall mounting variant.\n%$$%Please add mounting holes yourself,Установите *bottomheight* в 0 для настенного варианта.\n%$$%Пожалуйста, добавьте монтажные отверстия самостоятельно
Fully closed box intended to be cut from transparent acrylics and to serve %$$%as a display case,Полностью закрытая коробка, предназначенная для вырезания из прозрачного акрила и использования в качестве витрины
\n%$$%Adding '0:' at the start of the sy parameter adds a slot at the very back. %$$%Adding ':0' at the end of sy adds a slot meeting the bottom at the very %$$%front. This is especially useful if slot angle is set above zero.\n%$$%\n%$$%There are 4 different sets of dividers rendered:\n%$$%\n%$$%* With asymmetric tabs so the tabs fit on top of each other\n%$$%* With tabs of half wall thickness that can go side by side\n%$$%* With tabs of a full wall thickness\n%$$%* One single divider spanning across all columns\n%$$%\n%$$%You will likely need to cut each of the dividers you want multiple times.\,\n%$$%Добавление '0:' в начале параметра sy добавляет паз в самом конце. Добавление ':0' в конце sy добавляет паз, соединяющийся с дном спереди. Это особенно полезно, если угол паза больше нуля.\n%$$%\n%$$%Рендерятся 4 разных набора перегородок:\n%$$%\n%$$%* С асимметричными язычками, чтобы язычки накладывались друг на друга\n%$$%* С язычками толщиной в половину стенки, чтобы они могли идти рядом\n%$$%* С язычками полной толщины стенки\n%$$%* Одна перегородка, проходящая через все колонки\n%$$%\n%$$%Вам, вероятно, потребуется вырезать каждую нужную перегородку несколько раз.\
extra slack (in addition to thickness and kerf) to help insert dividers in m,дополнительный зазор (к толщине и ширине реза) для облегчения вставки перегородок в мм
Note: `sh` gives the height of the rows front to back. It though should have %$$%the same number of entries as `sy`. These heights are the one on the left %$$%side and increase throughout the row. To have each compartment a bit higher %$$%than the previous one the steps in `sh` should be a bit bigger than %$$%`extra_height`.\n%$$%\n%$$%Assembly:\n%$$%\n%$$%![Parts](static/samples/DrillStand-drawing.png)\n%$$%\n%$$%Start with putting the slots of the inner walls together. Be especially %$$%careful with adding the bottom. It is always asymmetrical and flush with the %$$%right/lower side while being a little short on the left/higher side to not %$$%protrude into the side wall.\n%$$%\n%$$%|      |      |\n%$$%| ---- | ---- |\n%$$%| ![Assembly inner walls](static/samples/DrillStand-assembly-1.jpg) | !%$$%[Assembly bottom](static/samples/DrillStand-assembly-2.jpg) |\n%$$%| Then add the front and the back wall. | Add the very left and right walls %$$%last. |\n%$$%| ![Assembly front and back](static/samples/DrillStand-assembly-3.jpg) | !%$$%[Assembly side walls](static/samples/DrillStand-assembly-4.jpg) |\,"Примечание: `sh` задаёт высоту рядов спереди назад. Должно быть столько же значений, сколько и в `sy`. Эти высоты соответствуют левой стороне и увеличиваются по ряду. Чтобы каждый отсек был чуть выше предыдущего, шаги в `sh` должны быть немного больше, чем %$$%`extra_height`.\n%$$%\n%$$%Сборка:\n%$$%\n%$$%![Детали](static/samples/DrillStand-drawing.png)\n%$$%\n%$$%Начните со сборки пазов внутренних стенок. Будьте особенно внимательны при установке дна. Оно всегда асимметрично и заподлицо с правой/нижней стороной, а с левой/верхней немного короче, чтобы не выступать за боковую стенку.\n%$$%\n%$$%|      |      |\n%$$%| ---- | ---- |\n%$$%| ![Сборка внутренних стенок](static/samples/DrillStand-assembly-1.jpg) | !%$$%[Сборка дна](static/samples/DrillStand-assembly-2.jpg) |\n%$$%| Затем добавьте переднюю и заднюю стенки. | Самые левые и правые стенки добавьте в конце. |\n%$$%| ![Сборка передней и задней стенок](static/samples/DrillStand-assembly-3.jpg) | !%$$%[Сборка боковых стенок](static/samples/DrillStand-assembly-4.jpg) |\"
"\n%$$%### Description\n%$$%Fat balls are quite common to feed tits. Here you can build a dispenser that %$$%protects\n%$$%the fat balls from rain and snow. The design was tested using 4mm plywood %$$%for the\n%$$%main structural parts. For the spacer of the locking mechanism two layers of %$$%3mm\n%$$%plywood have been stacked. The poles were made from 8mm diameter beech rod %$$%and 19cm\n%$$%in length. Some basic consistency checks have been made for different %$$%numbers, but\n%$$%only the defaults have ever been built.\n%$$%\n%$$%The final dispenser consists of two parts which slide into each other. You %$$%can mount\n%$$%a hook to hang it into a tree. All edges that have angles different from 90 %$$%degrees (chamfers)\n%$$%have engraved guiding lines which indicate the angle. You have to sand the %$$%edge such\n%$$%that the pieces fit together.\n%$$%\n%$$%The top part (roof) consists of the the following elements for a N sided %$$%dispenser:\n%$$%\n%$$%  * The N sided roof bottom plate which supports the roof tiles. It has a %$$%central cut out\n%$$%    which is needed for assembly and on the bottom side an engraved line %$$%which indicates the\n%$$%    position of the mounting bracket.\n%$$%  * N triangles forming the roof. They also have a small arc at the tip %$$%(roof_hole_diameter)\n%$$%  which acts as a drilling guide if you want to mount a hook.\n%$$%  * The N sided roof support piece which has a central hole for the hook. It %$$%is been mounted\n%$$%  to the roof tiles through the hole in the roof bottom plate to support the %$$%roof\n%$$%  tiles and acts as a mounting plate for the hook.\n%$$%  * Spacer(s); in the reference builds 2 spacers using 3mm plywood have been %$$%used. The spacer\n%$$%  needs to be a bit thicker than the ceiling (see below). That's the %$$%smaller\n%$$%  \""U\"" shaped part which is glued to the bottom side of the roof bottom %$$%plate.\n%$$%  * The bracket is also \""U\"" shaped and a bit wider than the spacer. This %$$%is glued to the\n%$$%  bottom of the spacer and holds the cage (bottom part).\n%$$%\n%$$%The bottom part (cage) consists of the follwoing elements:\n%$$%\n%$$%  * The ceiling is N sided with the central refill hole and N smaller holes %$$%into which\n%$$%  the poles are fitted.\n%$$%  * The N sided floor part with finger joints for the balcony walls and %$$%holes for\n%$$%  the poles. A central hole to drain rain water can be added as well.\n%$$%  * N balcony walls surrounding the floor.\n%$$%  * N poles that join floor and ceiling (not part of the drawing)\n%$$%\n%$$%Other parts needed for assembly:\n%$$%\n%$$%  * Wooden rod (N times the length of the poles).\n%$$%  * A hook (e.g. M5x50mm)\n%$$%  * A washer to distribute the load of the hook to the support piece\n%$$%  * One or two nuts to secure the hook\n%$$%  * Optional, a pice of wire mesh\n%$$%\n%$$%Assembly:\n%$$%\n%$$%  * Sand all chamfers\n%$$%  * Glue balcony walls to the floor\n%$$%  * Glue pairs of roof tiles and use the roof bottom plate as a jig, Hot %$$%glue may be used to\n%$$%    tack the parts.\n%$$%  * Glue all roof tiles to form the roof\n%$$%  * Glue spacer(s) and the bracket into a stack\n%$$%  * Glue roof tiles to the roof bottom plate and attach the support piece\n%$$%  * Glue the stack to the roof bottom plate\n%$$%  * Cut the poles to length\n%$$%  * If you want to use multiple colors paint now, otherwise you also can %$$%paint later\n%$$%  * After painting you may need to get the paint out of the pole holes again %$$%using a drillbit\n%$$%  * Glue the poles into floor plate and ceiling\n%$$%  * Attach the hanger\n%$$%  * Attach the wire mesh\n%$$%   ",\"\n%$$%### Описание\n%$$%Жирные шарики часто используются для кормления синиц. Здесь вы можете сделать кормушку, которая защищает\n%$$%шарики от дождя и снега. Конструкция была протестирована с использованием фанеры 4 мм для\n%$$%основных деталей. Для проставки в механизме блокировки использовались два слоя фанеры 3 мм.\n%$$%Стойки были сделаны из букового прута диаметром 8 мм и длиной 19 см.\n%$$%Проведены базовые проверки для разных количеств, но собраны только стандартные варианты.\n%$$%\n%$$%Готовая кормушка состоит из двух частей, которые вставляются друг в друга. Можно\n%$$%прикрепить крючок для подвешивания на дерево. Все края с углами, отличными от 90 градусов (фаски),\n%$$%имеют гравированные линии, указывающие угол. Края нужно зашлифовать,\n%$$%чтобы детали хорошо подошли друг к другу.\n%$$%\n%$$%Верхняя часть (крыша) состоит из следующих элементов для N-угольной кормушки:\n%$$%\n%$$%  * Нижняя пластина крыши с N сторонами, поддерживающая черепицу. В центре есть вырез\n%$$%    для сборки, а на нижней стороне — гравированная линия, указывающая\n%$$%    положение крепления.\n%$$%  * N треугольников, формирующих крышу. На кончике есть небольшая дуга (roof_hole_diameter),\n%$$%  которая служит направляющей для сверления, если нужно прикрепить крючок.\n%$$%  * Опорная деталь крыши с N сторонами и центральным отверстием для крючка. Она крепится\n%$$%  к черепице через отверстие в нижней пластине крыши и служит опорой для черепицы\n%$$%  и креплением для крючка.\n%$$%  * Проставки; в эталонных сборках использовались 2 проставки из фанеры 3 мм. Проставка\n%$$%  должна быть немного толще потолка (см. ниже). Это меньшая\n%$$%  U-образная деталь, которая приклеивается к нижней стороне нижней пластины крыши.\n%$$%  * Кронштейн также U-образный и немного шире проставки. Он приклеивается\n%$$%  к низу проставки и удерживает клетку (нижнюю часть).\n%$$%\n%$$%Нижняя часть (клетка) состоит из следующих элементов:\n%$$%\n%$$%  * Потолок с N сторонами, центральным отверстием для заправки и N малыми отверстиями\n%$$%  для установки стоек.\n%$$%  * Нижняя часть с N сторонами, шипами для балконных стенок и отверстиями для\n%$$%  стоек. Также можно добавить центральное отверстие для слива дождевой воды.\n%$$%  * N балконных стенок по периметру пола.\n%$$%  * N стоек, соединяющих пол и потолок (не показаны на рисунке)\n%$$%\n%$$%Другие детали для сборки:\n%$$%\n%$$%  * Деревянный прут (N раз по длине стоек).\n%$$%  * Крючок (например, M5x50мм)\n%$$%  * Шайба для распределения нагрузки от крючка на опорную деталь\n%$$%  * Одна-две гайки для фиксации крючка\n%$$%  * По желанию — кусок проволочной сетки\n%$$%\n%$$%Сборка:\n%$$%\n%$$%  * Зашлифуйте все фаски\n%$$%  * Приклейте балконные стенки к полу\n%$$%  * Склейте пары черепиц и используйте нижнюю пластину крыши как шаблон, можно использовать горячий клей\n%$$%    для временной фиксации\n%$$%  * Склейте все черепицы, чтобы сформировать крышу\n%$$%  * Склейте проставки и кронштейн в стопку\n%$$%  * Приклейте черепицы к нижней пластине крыши и прикрепите опорную деталь\n%$$%  * Приклейте стопку к нижней пластине крыши\n%$$%  * Обрежьте стойки по длине\n%$$%  * Если хотите использовать несколько цветов — покрасьте сейчас, иначе можно покрасить позже\n%$$%  * После покраски, возможно, потребуется очистить отверстия для стоек сверлом\n%$$%  * Вклейте стойки в пол и потолок\n%$$%  * Прикрепите подвес\n%$$%  * Прикрепите проволочную сетку\n%$$%   "
The diameter of the fat balls. Give some extra mm to make it a loose fi,Диаметр жирных шариков. Добавьте несколько мм для свободного размещения
The diameter of the hole of the floor (to drain rainwater)\n%$$%                    in mm. Set to 0 if you don't need it,Диаметр отверстия в полу (для слива дождевой воды)\n%$$%                    в мм. Установите 0, если не нужно
The minimum distance between a pole and the central\n%$$%                    refill hole in the ceiling in mm,Минимальное расстояние между стойкой и центральным\n%$$%                    отверстием для заправки в потолке в мм
The gap between the parts that slide into each other\n%$$%                    in the locking mechanism in mm,Зазор между деталями, которые входят друг в друга\n%$$%                    в механизме блокировки, в мм
The fraction of the pole clearance which is being used for\n%$$%                    the locking mechanism,Доля зазора стойки, используемая для\n%$$%                    механизма блокировки
The diameter of the hole of the roof in mm.\n%$$%                    Set to 0 if you don't want to attach a hanger,Диаметр отверстия в крыше в мм.\n%$$%                    Установите 0, если не хотите крепить подвес
The distance from on bottom corner of the roof to the maintenance hole in mm,Расстояние от нижнего угла крыши до сервисного отверстия в мм
"\n%$$%Use small nails to properly align the pieces of the bayonet latch. Glue the %$$%parts of the bayonet latch before assembling the \""axle\"". The inner parts %$$%go at the side and the outer parts at the inside of the axle.\n%$$%![opened spool](static/samples/FilamentSpool-2.jpg",\"\n%$$%Используйте маленькие гвозди для правильного совмещения деталей байонетного замка. Склейте детали байонетного замка до сборки \"оси\". Внутренние части идут по бокам, а внешние — внутри оси.\n%$$%![открытая катушка](static/samples/FilamentSpool-2.jpg)
"\n%$$%If you have an enclosure, arrange the living hinge to be as close to your %$$%extractor fan as possible.\n%$$%\n%$$%![Open](static/samples/FlexBook-2.jpg",\"\n%$$%Если у вас есть корпус, расположите гибкую петлю как можно ближе к вытяжному вентилятору.\n%$$%\n%$$%![Открыто](static/samples/FlexBook-2.jpg)
"\n%$$%<script type=\""module\"" src=\""https://md-block.verou.me/md-block.js\""></%$$%script>\n%$$%<md-block>\n%$$%\n%$$%\n%$$%This will help you create font (and side and top) panels for your\n%$$%boxes that are pre-configured for all the bits and bobs you'd like to\n%$$%install\n%$$%\n%$$%    The layout can create several types of holes including rectangles,\n%$$%    circles and mounting holes.  The default shows an example layout with %$$%all\n%$$%    currently supported objects.\n%$$%\n%$$%####\n%$$%`rect x y w h [cr=0] [cx=True] [cy=True]`\n%$$%\n%$$%     x: x position\n%$$%     y: y position\n%$$%     w: width\n%$$%     h: height\n%$$%    cr: optional, Corner radius, default=0\n%$$%    cx: optional, Center x.  the x position denotes the center of the %$$%rectangle.\n%$$%        accepts t, T, 1, or other true-like values.\n%$$%    cy: optional, Center y.  the y position denotes the center of the %$$%rectangle.\n%$$%\n%$$%#### outline\n%$$%`rect w h`\n%$$%\n%$$%    w: width\n%$$%    h: height\n%$$%\n%$$%`outline` has a special meaning: You can create multiple panel outlines with %$$%one command.\n%$$%This has the effect of making it easy to manage all the holes on all the %$$%sides of\n%$$%your boxes.\n%$$%\n%$$%#### circle\n%$$%`circle x y r`\n%$$%\n%$$%    x: x position\n%$$%    y: y position\n%$$%    r: radius\n%$$%\n%$$%#### mountinghole\n%$$%mountinghole x y d_shaft [d_head=0] [angle=0]\n%$$%\n%$$%          x: x position\n%$$%          y: y position\n%$$%    d_shaft: diameter of the shaft part of the mounting hole\n%$$%     d_head: optional. diameter of the head\n%$$%      angle: optional. angle of the mounting hole\n%$$%\n%$$%#### text\n%$$%`text x y size \""some text\"" [angle=0] [align=bottom|left]`\n%$$%\n%$$%        x: x position\n%$$%        y: y position\n%$$%     size: size, in mm\n%$$%     text: text to render.  This *must* be in quotation marks\n%$$%    angle: angle (in degrees)\n%$$%    align: string with combinations of (top|middle|bottom) and (left|center|%$$%right),\n%$$%           separated by '|'.  Default is 'bottom|left'\n%$$%\n%$$%\n%$$%\n%$$%#### nema\n%$$%`nema x y size [screwhole_size=0]`\n%$$%\n%$$%        x: x position (center of shaft)\n%$$%        y: y position (center of shaft)\n%$$%     size: nema size.  One of [8, 11, 14, 16, 17, 23, 24, 34, 42]\n%$$%    screw: screw size, in mm.  Optional.  Default=0, which means the default %$$%size\n%$$%</md-block>\n%$$%   ",
"This is a configurable gridfinity base.  This\n%$$%    design is based on\n%$$%    <a href=\""https://www.youtube.com/watch?app=desktop&v=ra_9zU-mnl8\"">Zach %$$%Freedman's Gridfinity system</a",
Extra margin around the gridfinity base to allow it to drop into the carrier %$$%(mm,
"\n%$$%This is a general purpose gridfinity tray generator.  You can create\n%$$%somewhat arbitrarily shaped trays, or just do nothing for simple grid\n%$$%shaped trays.\n%$$%\n%$$%The dimensions are automatically calculated to fit perfectly into a\n%$$%gridfinity grid (like the GridfinityBase, or any other Gridfinity\n%$$%based base).\n%$$%\n%$$%Edit the layout text graphics to adjust your tray.\n%$$%You can replace the hyphens and vertical bars representing the walls\n%$$%with a space character to remove the walls.  You can replace the space\n%$$%characters representing the floor by a \""X\"" to remove the floor for\n%$$%this compartment.\",
inner height of inner walls in mm (leave to zero for same as outer walls %$$%with optional reduction for stacking,
You need to add a hole pattern to all horizontal layers except the very %$$%botto,
"This is a two step process. This is step 2.\n%$$%Edit the layout text graphics to adjust your tray.\n%$$%Put in the sizes for each column and row. You can replace the hyphens and\n%$$%vertical bars representing the walls with a space character to remove the %$$%walls.\n%$$%You can replace the space characters representing the floor by a \""X\"" to %$$%remove the floor for this compartment.\",
"Configurable half of a box which can be: a bookend, a hanging shelf, an %$$%angle clamping jig, ..",
This can be used to create:\n%$$%\n%$$%* a hanging shelf:\n%$$%![HalfBox as hanging shelf](static/samples/HalfBox_Shelf_usage.jpg)\n%$$%\n%$$%* an angle clamping jig:\n%$$%![HalfBox as an angle clamping jig](static/samples/%$$%HalfBox_AngleJig_usage.jpg)\n%$$%\n%$$%* a bookend:\n%$$%![HalfBox as a bookend](static/samples/HalfBox_Bookend_usage.jpg)\n%$$%\n%$$%and many more...\n%$$%\,
Needs (metal) pins as hinge axles. Pieces of nails will\n%$$%do fine. They need to be cut to length as they are captured as soon as the\n%$$%hinges are assembled.\n%$$%\n%$$%Assemble the box and the lid separately. Then insert the axle into the %$$%hinges.\n%$$%Then attach the hinges on the inside of the box and then connect them to %$$%lid.\,
A case that can be used in any hobby involving small pieces in need of %$$%organizing,
"\n%$$%The hobby case is defined by units, \""cells\"" of the case.\n%$$%You define depth, height and widths of the cells.\n%$$%By combining dimensions with number of columns and rows slots for shelves %$$%are generated.\n%$$%Slots can be populated by:\n%$$%\n%$$%* shelves (horizontal piece of plywood that covers full width and depth of %$$%the column. You can put anything on them, but they also provide some %$$%structural integrity. It is recommended to have a least one shelve every 2-4 %$$%slots (depending on the unit height)\n%$$%* rails (3 horizontal pieces that stick out of the side and back walls of %$$%the column. They can be used to allow taller things placed on shelves below, %$$%but also some sliding drawers can be put in them.\",
Create pieces larger than your laser cutter by joining them with Dove Tail,
This can be used to just create a big panel in a smaller laser cutter. But %$$%the actual use is to split large parts into multiple smaller pieces. Copy %$$%the outline onto the sheet and then use the pieces to cut it into multiple %$$%parts that each can fit your laser cutter. Note that each piece must be cut %$$%with the sheet surrounding it to ensure the burn correction (aka kerf) is %$$%correct. Depending on your vector graphics software you may need to %$$%duplicate your part multiple times and then generate the intersection %$$%between one copy and each rectangular part.\n%$$%\n%$$%The Boxes.py drawings assume that the laser is cutting in the center of the %$$%line and the width of the line represents the material that is cut away. %$$%Make sure your changes work the same way and you do not cutting away the %$$%kerf.\n%$$%\n%$$%Small dove tails make it easier to fit parts in without problems. Lookout %$$%for pieces cut loose where the dove tails meet the edge of the parts. Move %$$%your part if necessary to avoid dove tails or details of your part colliding %$$%in a weird way.\n%$$%\n%$$%For plywood this method works well with a very stiff press fit. Aim for %$$%needing a hammer to join the pieces together. This way they will feel like %$$%they have been welder together.\n%$$%\,
"\n%$$%    This is a kamishibai butai (japanese image theatre), with several %$$%options for covering the different\n%$$%    holes when put away.\n%$$%    Magenta cuts should be performed before the blue cuts.\n%$$%    The recommended wood thickness is 5 mm at least, particularly if you go %$$%for big sizes (which works\n%$$%    fine with A4 or A3). If you use 3 mm, you should not use the screwing %$$%option (disabled by default),\n%$$%    so you can assemble your box with glue or force the pieces together %$$%(using a bigger burn parameter).\n%$$%    Please note that using the screwing option often means adding feet %$$%(which can be 3D printed for\n%$$%    example). It makes the box easier to mount and unmount for repairing %$$%purposes, and the feet protect\n%$$%    the wood from whatever surface the box is put on. Screws are not %$$%compatible with a small frame\n%$$%    thickness (i.e. with sheets with a small margin).\n%$$%    For assembling the box, please follow the following steps:\n%$$%    1. Assemble the front side and back side pieces to the front and back of %$$%the front and back panels\n%$$%    respectively\n%$$%    2. Assemble the top handle pieces together and insert two of the plates %$$%into the two holes (centered);\n%$$%    then insert the assembled handles into the dansle ceiling and add the %$$%two other plates\n%$$%    3. Insert the front and back panels into the bottom panel\n%$$%    4. Attach the handle between the top of the front and back panels, then %$$%add the top panel but do not\n%$$%    fasten it yet, just keep it loose on top\n%$$%    5. Assemble the locks together to the doors if enabled:\n%$$%       5.1 lock with key : lock front - lock external - plate cut from the %$$%door (also add the door now) -\n%$$%       lock internal\n%$$%       5.2 lock simple : lock grip - lock external - plate cut from the door %$$%(also add the door now) -\n%$$%       lock internal\n%$$%       5.3 small extra locks for top and bottom : lock grip - plate cut from %$$%the door (also add the door\n%$$%       now) - lock internal - lock spacer - lock locker\n%$$%    6. Add the hinges to the doors if needed (for two-panes front doors)\n%$$%    7. fasten the top\n%$$%    8. Attach two side panel inner plates to a side panel with the two pegs %$$%(use glue if necessary) and\n%$$%    repeat a second time\n%$$%    9. If you use a lock with key, add the last short peg to the back plate %$$%(you may want to sand it a bit\n%$$%    on the other half so that the key can be attached easily enough, but it %$$%should not fal off either)\n%$$%    10. You should now be able to close and open all the doors\n%$$%    Usage recommendations:\n%$$%    1. Add your paper sheets fron one side or the other (normally you leave %$$%either left or right closed,\n%$$%    depending on which is more comfortable for you)\n%$$%    2. Thick paper is easier to handle ; if you print on a home printer, use %$$%the thickest you printer can\n%$$%    print (probably around 200 grams per square meter) ; if you want extra %$$%quality, go to a printing shop\n%$$%    and ask them for 300 grams per square meter printing\n%$$%    3. You can also buy virgin drawing paper to write your own stories\n%$$%    4. If you decided to go for the lock with key, you can ask one of the %$$%participants to unlock the box,\n%$$%    it really helps in immersing into toe story\n%$$%    5. If you need a kamishibai for showing images during a guided tour, you %$$%may choose to use the\n%$$%    one-panel front, and use transparent acrylic for the back and front %$$%panels to keep you sheets\n%$$%    protected from light rain ; you may need to cut the box from a rain-%$$%resistant material\n%$$%    (outside-compatible plywood or acrylic)\n%$$%   ",
Thickness of the top handle in multiples of thickness (Set to 0 for no %$$%handle,
Width of the top handle in mm (Set to 0 for no handle) ; the SheetStackDepth %$$%should be at least 4 x thickness mor,
"Back extra depth (for adding buttons for example), in multiples of %$$%thickness ; set to 0 to let the system calculate the smallest on",
"Margin for the pegs width in mm ; set to a lower value if the pieces are %$$%forced together, a higher value if the pieces slide easily into eachother %$$%(using screws or glue to assemble",
"Front extra depth (for attaching hinges for example), in multiples of %$$%thickness ; set to 0 to ignore or let the system calculate the smallest on",
separation of the cover holes from one another's center in mm (section %$$%parameter type) ; the first item is the distance from the borde,
separation of the box holes from one another's center in mm (section %$$%parameter type) ; the first item is the distance from the borde,
Distance of the screw axis from the side border (in multiples of thickness,
"Diameter of the screw holes for extra feet at the corners, in mm (set to 0 %$$%for no screws",
"Distance from the border for the axis of the extra feet at the corners, in %$$%mm (set to 0 for no screws",
Example for a KeyHolder with a slightly larger backplate and 8 hooks. This %$$%uses 6mm plywood for extra stability.\n%$$%\n%$$%Closeup:\n%$$%\n%$$%![KeyHolder-2](static/samples/KeyHolder-2.jpg)\n%$$%\n%$$%Full picture:\,
Note that top layers use a different material thickness according to the %$$%top1_thickness and top2_thickness (if enabled),
"thickness of the button hold layer, cherry like switches need 1.5mm or %$$%smaller to snap i",
"thickness of the hotplug layer, CPG151101S11 hotswap sockets need 1.2mm to %$$%1.5m",
desired height between bottom of laptop and ground at lowest point (front of %$$%laptop stand,
You need a tension spring of the proper length to make the clamp work.\n%$$%Increase extraheight to get more space for the spring and to make the\n%$$%sliding mechanism less likely to bind. You may need to add some wax on the\n%$$%parts sliding on each other to reduce friction.\,
Bench power supply powered with Maktia 18V battery or laptop power suppl,
"\n%$$%Vitamins: DSP5005 (or similar) power supply, two banana sockets, two 4.8mm %$$%flat terminals with flat soldering tag\n%$$%\n%$$%To allow powering by laptop power supply: flip switch, Lenovo round socket %$$%(or adjust right  hole for different socket)\",
diameter of the flipswitch mounting hole (disabled of no secondary power,
