msgid,msgstr
Console2 Settings,Настройки консоли2
removable_backwall,съемная_задняя_стенка
have latches at the backwall,иметь защелки на задней стенке
removable_panel,съемная_панель
The panel is held by tabs and can be removed,панель удерживается язычками и может быть снята
glued_panel,приклеенная_панель
the panel is glued and not held by finger joints,панель приклеена и не удерживается пальцевыми соединениями
Desksign,Настольная табличка
Simple diagonal plate with stands to show name or message.,простая диагональная пластина с подставками для показа имени или сообщения
"Text to be engraved can be generated by inputting the label and fontsize\nfields. height represents the area that can be used for writing text,\ndoes not match the actual height when standing. Generated text is put\nin the center and can be adjusted using the vertical text offset.\nEmpty lines will affect the placement.","Текст для гравировки может быть сгенерирован путем ввода полей ярлыка и размера шрифта.\nвысота представляет область, которая может быть использована для написания текста,\nне соответствует фактической высоте при стоянии. Сгенерированный текст помещается\nв центр и может быть отрегулирован с помощью вертикального смещения текста.\nПустые строки повлияют на размещение."
Desksign Settings,Настройки настольной таблички
plate width in mm (excluding holes),ширина пластины в мм (исключая отверстия)
plate height in mm,высота пластины в мм
plate angle in degrees (90 is vertical),угол пластины в градусах (90 - вертикально)
label,ярлык
optional text to engrave (leave blank to omit),необязательный текст для гравировки (оставьте пустым, чтобы пропустить)
fontsize,размер_шрифта
height of text,высота текста
feet,ножки
add raised feet,добавить приподнятые ножки
mirror,зеркало
mirrors one of the stand so the same side of the material can be placed on the outside,зеркально отражает одну из подставок, чтобы одна и та же сторона материала могла быть размещена снаружи
verticaltextoffset,вертикальное_смещение_текста
vertical offset of text in mm from the default centered location,вертикальное смещение текста в мм от центрированного положения по умолчанию
DiceBox,Коробка для кубиков
Box with lid and integraded hinge for storing dice,коробка с крышкой и встроенным шарниром для хранения кубиков
DiceBox Settings,Настройки коробки для кубиков
lidheight,высота_крышки
height of lid in mm,высота крышки в мм
hex_hole_corner_radius,радиус_угла_шестигранного_отверстия
"The corner radius of the hexagonal dice holes, in mm","радиус угла шестигранных отверстий для кубиков, в мм"
magnet_diameter,диаметр_магнита
"The diameter of magnets for holding the box closed, in mm","диаметр магнитов для удержания коробки закрытой, в мм"
Settings for Chest Hinges,Настройки петель сундука
finger_joints_on_box,пальцевые_соединения_на_коробке
whether to include finger joints on the edge with the box,включать ли пальцевые соединения на краю с коробкой
finger_joints_on_lid,пальцевые_соединения_на_крышке
whether to include finger joints on the edge with the lid,включать ли пальцевые соединения на краю с крышкой
hinge_strength,прочность_петли
pin_height,высота_штифта
radius of the disc rotating in the hinge (multiples of thickness),радиус диска, вращающегося в петле (кратно толщине)
DiceTower,Башня для кубиков
Tool for fairly rolling dice,инструмент для честного броска кубиков
Feel free to add a shallow ABox as a container for catching the dice so they don't scatter across the table.\n\nYou can also configure the DiceTower and change the number and angle of the ramps.\n,"Не стесняйтесь добавить неглубокую коробку как контейнер для ловли кубиков, чтобы они не разлетались по столу.\n\nВы также можете настроить башню для кубиков и изменить количество и угол пандусов.\n"
DiceTower Settings,Настройки башни для кубиков
width of the tower (side where the dice fall out),ширина башни (сторона, где выпадают кубики)
depth of the tower,глубина башни
height of the tower,высота башни
include bottom piece,включить нижнюю часть
ramps,пандусы
number of ramps in the tower,количество пандусов в башне
angle of the ramps in the tower,угол пандусов в башне
DinRailBox,Коробка для DIN-рейки
Box for DIN rail used in electrical junction boxes,коробка для DIN-рейки, используемой в электрических распределительных коробках
DinRailBox Settings,Настройки коробки для DIN-рейки
rail_width,ширина_рейки
width of the rail (typically 35 or 15mm),ширина рейки (обычно 35 или 15мм)
rail_offset,смещение_рейки
offset of the rail from the middle of the box (in mm),смещение рейки от середины коробки (в мм)
DiscRack,Стойка для дисков
A rack for storing disk-shaped objects vertically next to each other,стойка для хранения дискообразных объектов вертикально рядом друг с другом
DiscRack Settings,Настройки стойки для дисков
disc_diameter,диаметр_диска
Disc diameter in mm,диаметр диска в мм
disc_thickness,толщина_диска
Thickness of the discs in mm,толщина дисков в мм
lower_factor,нижний_фактор
Position of the lower rack grids along the radius,положение нижних решеток стойки вдоль радиуса
rear_factor,задний_фактор
Position of the rear rack grids along the radius,положение задних решеток стойки вдоль радиуса
disc_outset,выступ_диска
Additional space kept between the disks and the outbox of the rack,дополнительное пространство, оставляемое между дисками и внешней частью стойки
Backwards slant of the rack,наклон стойки назад
Dispenser,Диспенсер
Dispenser for stackable (flat) items of same size,диспенсер для штабелируемых (плоских) предметов одинакового размера
Set *bottomheight* to 0 for a wall mounting variant.\nPlease add mounting holes yourself.,"Установите *bottomheight* на 0 для настенного варианта.\nПожалуйста, добавьте монтажные отверстия самостоятельно."
Dispenser Settings,Настройки диспенсера
slotheight,высота_щели
height of the dispenser slot / items (in mm),высота щели диспенсера / предметов (в мм)
viewingwidth,ширина_просмотра
width of the viewing slot as part of total width (0 for closed front),ширина смотрового окна как часть общей ширины (0 для закрытого переда)
bottomheight,высота_основания
height underneath the dispenser (in mm),высота под диспенсером (в мм)
sideedges,боковые_края
edges used for holding the front panels and back,края, используемые для удержания передних панелей и задней части
Display,Дисплей
Display for flyers or leaflets,дисплей для флаеров или листовок
Display Settings,Настройки дисплея
radius of the corners in mm,радиус углов в мм
greater zero for top wider as bottom,больше нуля для верха шире основания
DisplayCase,Витрина
Fully closed box intended to be cut from transparent acrylics and to serve as a display case.,полностью закрытая коробка, предназначенная для вырезания из прозрачного акрила и служащая витриной
DisplayCase Settings,Настройки витрины
overhang,выступ
overhang for joints in mm,выступ для соединений в мм
DisplayShelf,Витрина-полка
Shelf with slanted floors,полка с наклонными полами
DisplayShelf Settings,Настройки витрины-полки
number of shelves,количество полок
front_wall_height,высота_передней_стенки
height of front walls,высота передних стенок
angle of floors (negative values for slanting backwards),угол полов (отрицательные значения для наклона назад)
include_back,включить_заднюю_часть
Include panel on the back of the shelf,включить панель на задней части полки
include_front,включить_переднюю_часть
Include panel on the front of the shelf (to be used backwards),включить панель на передней части полки (для использования наоборот)
include_bottom,включить_основание
Include horizontal panel on the bottom of the shelf,включить горизонтальную панель на дне полки
slope_top,наклон_верха
Slope the sides and the top by front wall height,наклонить бока и верх на высоту передней стенки
divider_wall_height,высота_разделительной_стенки
height of divider walls,высота разделительных стенок
bottom_distance,расстояние_от_дна
height below the bottom shelf,высота под нижней полкой
top_distance,расстояние_от_верха
extra height above the top shelf,дополнительная высота над верхней полкой
DividerTray,Лоток с разделителями
Divider tray - rows and dividers,Разделительный лоток - ряды и разделители
\nAdding '0:' at the start of the sy parameter adds a slot at the very back. Adding ':0' at the end of sy adds a slot meeting the bottom at the very front. This is especially useful if slot angle is set above zero.\n\nThere are 4 different sets of dividers rendered:\n\n* With asymmetric tabs so the tabs fit on top of each other\n* With tabs of half wall thickness that can go side by side\n* With tabs of a full wall thickness\n* One single divider spanning across all columns\n\nYou will likely need to cut each of the dividers you want multiple times.\n,"\nДобавление '0:' в начале параметра sy добавляет слот в самом конце. Добавление ':0' в конце sy добавляет слот, встречающийся с дном в самом начале. Это особенно полезно, если угол слота установлен выше нуля.\n\nВизуализируются 4 различных набора разделителей:\n\n* С асимметричными выступами, чтобы выступы помещались друг на друга\n* С выступами половинной толщины стенки, которые могут располагаться рядом\n* С выступами полной толщины стенки\n* Один разделитель, охватывающий все столбцы\n\nВам, вероятно, потребуется вырезать каждый из нужных разделителей несколько раз.\n"
DividerTray Settings,Настройки разделительного лотка
notches_in_wall,пазы_в_стенке
generate the same notches on the walls that are on the dividers,генерировать те же пазы на стенках что и на разделителях
left_wall,левая_стенка
generate wall on the left side,генерировать стенку слева
right_wall,правая_стенка
generate wall on the right side,генерировать стенку справа
generate wall on the bottom,генерировать стенку снизу
add handle to the bottom,добавить ручку снизу
Settings for Divider Slots,Настройки для слотов разделителей
"angle at which slots are generated, in degrees. 0° is vertical.","угол под которым генерируются слоты в градусах. 0° - вертикально."
depth of the slot in mm,глубина слота в мм
extra_slack,дополнительный_зазор
extra slack (in addition to thickness and kerf) to help insert dividers in mm,дополнительный зазор (в дополнение к толщине и пропилу) для помощи вставки разделителей в мм
radius of the slot entrance in mm,радиус входа слота в мм
Settings for Notches on the Dividers,Настройки для пазов на разделителях
lower_radius,нижний_радиус
upper_radius,верхний_радиус
Settings for Dividers,Настройки для разделителей
bottom_margin,нижний_отступ
margin between box's bottom and divider's in mm,отступ между дном коробки и разделителем в мм
play to avoid them clamping onto the walls (in multiples of thickness),зазор чтобы избежать зажатия на стенках (в кратных толщины)
DoubleFlexDoorBox,Коробка с двойными гибкими дверцами
Box with two part lid with living hinges and round corners,Коробка с двухчастной крышкой с гибкими шарнирами и округлыми углами
DoubleFlexDoorBox Settings,Настройки коробки с двойными гибкими дверцами
Radius of the latch in mm,Радиус защелки в мм
latchsize,размер_защелки
size of latch in multiples of thickness,размер защелки в кратных толщины
DrillBox,Коробка для сверл
A parametrized box for drills,Параметризованная коробка для сверл
![Multiple DrillBoxes](static/samples/DrillBoxes.jpg) ,![Множественные коробки для сверл](static/samples/DrillBoxes.jpg) 
DrillBox Settings,Настройки коробки для сверл
Number of holes for each size,Количество отверстий для каждого размера
firsthole,первое_отверстие
Smallest hole,Наименьшее отверстие
holeincrement,приращение_отверстий
increment between holes,приращение между отверстиями
DrillStand,Стойка для сверл
Box for drills with each compartment of a different height,Коробка для сверл с отсеками разной высоты
Note: `sh` gives the height of the rows front to back. It though should have the same number of entries as `sy`. These heights are the one on the left side and increase throughout the row. To have each compartment a bit higher than the previous one the steps in `sh` should be a bit bigger than `extra_height`.\n\nAssembly:\n\n![Parts](static/samples/DrillStand-drawing.png)\n\nStart with putting the slots of the inner walls together. Be especially careful with adding the bottom. It is always asymmetrical and flush with the right/lower side while being a little short on the left/higher side to not protrude into the side wall.\n\n|      |      |\n| ---- | ---- |\n| ![Assembly inner walls](static/samples/DrillStand-assembly-1.jpg) | ![Assembly bottom](static/samples/DrillStand-assembly-2.jpg) |\n| Then add the front and the back wall. | Add the very left and right walls last. |\n| ![Assembly front and back](static/samples/DrillStand-assembly-3.jpg) | ![Assembly side walls](static/samples/DrillStand-assembly-4.jpg) |\n,"Примечание: `sh` задает высоту рядов спереди назад. Однако должно иметь такое же количество записей как `sy`. Эти высоты находятся на левой стороне и увеличиваются по всему ряду. Чтобы каждый отсек был немного выше предыдущего, шаги в `sh` должны быть немного больше чем `extra_height`.\n\nСборка:\n\n![Детали](static/samples/DrillStand-drawing.png)\n\nНачните с соединения пазов внутренних стенок. Будьте особенно осторожны при добавлении дна. Оно всегда асимметрично и заподлицо с правой/нижней стороной, при этом немного короче на левой/верхней стороне, чтобы не выступать в боковую стенку.\n\n|      |      |\n| ---- | ---- |\n| ![Сборка внутренних стенок](static/samples/DrillStand-assembly-1.jpg) | ![Сборка дна](static/samples/DrillStand-assembly-2.jpg) |\n| Затем добавьте переднюю и заднюю стенки. | Добавьте самые левую и правую стенки последними. |\n| ![Сборка передней и задней стенок](static/samples/DrillStand-assembly-3.jpg) | ![Сборка боковых стенок](static/samples/DrillStand-assembly-4.jpg) |\n"
DrillStand Settings,Настройки стойки для сверл
extra_height,дополнительная_высота
height difference left to right,разность высот слева направо
ElectronicsBox,Коробка для электроники
Closed box with screw on top and mounting holes,Закрытая коробка с винтом сверху и монтажными отверстиями
ElectronicsBox Settings,Настройки коробки для электроники
Sides of the triangles holding the lid in mm,Стороны треугольников удерживающих крышку в мм
d1,д1
Diameter of the inner lid screw holes in mm,Диаметр внутренних винтовых отверстий крышки в мм
d2,д2
Diameter of the lid screw holes in mm,Диаметр винтовых отверстий крышки в мм
d3,д3
Diameter of the mounting screw holes in mm,Диаметр монтажных винтовых отверстий в мм
outsidemounts,внешние_крепления
Add external mounting points,Добавить внешние точки крепления
holedist,расстояние_отверстий
Distance of the screw holes from the wall in mm,Расстояние винтовых отверстий от стенки в мм
EuroRackSkiff,Корпус EuroRack
3U Height case with adjustable width and height and included rails,Корпус высотой 3U с регулируемой шириной и высотой и включенными рейками
EuroRackSkiff Settings,Настройки корпуса EuroRack
hp,л.с.
Width of the case in HP,Ширина корпуса в HP
FanHole,Отверстие для вентилятора
Hole pattern for mounting a fan,Схема отверстий для монтажа вентилятора
FanHole Settings,Настройки отверстия для вентилятора
diameter of the fan hole,диаметр отверстия для вентилятора
mounting_holes,монтажные_отверстия
diameter of the fan mounting holes,диаметр монтажных отверстий вентилятора
mounting_holes_inset,вставка_монтажных_отверстий
distance of the fan mounting holes from the outside,расстояние монтажных отверстий вентилятора от края
arms,лопасти
number of arms,количество лопастей
inner_disc,внутренний_диск
relative size of the inner disc,относительный размер внутреннего диска
Style of the fan hole,Стиль отверстия для вентилятора
CW Swirl,Вихрь по часовой стрелке
CCW Swirl,Вихрь против часовой стрелки
Hole,Отверстие
FatBallDispenser,Дозатор жировых шариков
Birdhouse for fat balls.,Скворечник для жировых шариков.
"\n### Description\nFat balls are quite common to feed tits. Here you can build a dispenser that protects\nthe fat balls from rain and snow. The design was tested using 4mm plywood for the\nmain structural parts. For the spacer of the locking mechanism two layers of 3mm\nplywood have been stacked. The poles were made from 8mm diameter beech rod and 19cm\nin length. Some basic consistency checks have been made for different numbers, but\nonly the defaults have ever been built.\n\nThe final dispenser consists of two parts which slide into each other. You can mount\na hook to hang it into a tree. All edges that have angles different from 90 degrees (chamfers)\nhave engraved guiding lines which indicate the angle. You have to sand the edge such\nthat the pieces fit together.\n\nThe top part (roof) consists of the the following elements for a N sided dispenser:\n\n  * The N sided roof bottom plate which supports the roof tiles. It has a central cut out\n    which is needed for assembly and on the bottom side an engraved line which indicates the\n    position of the mounting bracket.\n  * N triangles forming the roof. They also have a small arc at the tip (roof_hole_diameter)\n  which acts as a drilling guide if you want to mount a hook.\n  * The N sided roof support piece which has a central hole for the hook. It is been mounted\n  to the roof tiles through the hole in the roof bottom plate to support the roof\n  tiles and acts as a mounting plate for the hook.\n  * Spacer(s); in the reference builds 2 spacers using 3mm plywood have been used. The spacer\n  needs to be a bit thicker than the ceiling (see below). That's the smaller\n  \""U\"" shaped part which is glued to the bottom side of the roof bottom plate.\n  * The bracket is also \""U\"" shaped and a bit wider than the spacer. This is glued to the\n  bottom of the spacer and holds the cage (bottom part).\n\nThe bottom part (cage) consists of the follwoing elements:\n\n  * The ceiling is N sided with the central refill hole and N smaller holes into which\n  the poles are fitted.\n  * The N sided floor part with finger joints for the balcony walls and holes for\n  the poles. A central hole to drain rain water can be added as well.\n  * N balcony walls surrounding the floor.\n  * N poles that join floor and ceiling (not part of the drawing)\n\nOther parts needed for assembly:\n\n  * Wooden rod (N times the length of the poles).\n  * A hook (e.g. M5x50mm)\n  * A washer to distribute the load of the hook to the support piece\n  * One or two nuts to secure the hook\n  * Optional, a pice of wire mesh\n\nAssembly:\n\n  * Sand all chamfers\n  * Glue balcony walls to the floor\n  * Glue pairs of roof tiles and use the roof bottom plate as a jig, Hot glue may be used to\n    tack the parts.\n  * Glue all roof tiles to form the roof\n  * Glue spacer(s) and the bracket into a stack\n  * Glue roof tiles to the roof bottom plate and attach the support piece\n  * Glue the stack to the roof bottom plate\n  * Cut the poles to length\n  * If you want to use multiple colors paint now, otherwise you also can paint later\n  * After painting you may need to get the paint out of the pole holes again using a drillbit\n  * Glue the poles into floor plate and ceiling\n  * Attach the hanger\n  * Attach the wire mesh\n    ","\n### Описание\nЖировые шарики довольно часто используются для кормления синиц. Здесь вы можете построить дозатор, который защищает\nжировые шарики от дождя и снега. Дизайн был протестирован с использованием 4мм фанеры для\nосновных конструктивных частей. Для прокладки механизма блокировки были сложены два слоя 3мм\nфанеры. Жерди были сделаны из 8мм буковых прутьев диаметром и 19см\nв длину. Были сделаны некоторые базовые проверки согласованности для разных чисел, но\nтолько значения по умолчанию когда-либо строились.\n\nГотовый дозатор состоит из двух частей, которые скользят друг в друга. Вы можете установить\nкрючок, чтобы повесить его на дерево. Все края, которые имеют углы отличные от 90 градусов (фаски),\nимеют гравированные направляющие линии, которые указывают угол. Вы должны отшлифовать край так,\nчтобы детали подходили друг к другу.\n\nВерхняя часть (крыша) состоит из следующих элементов для N-стороннего дозатора:\n\n  * N-сторонняя нижняя пластина крыши, которая поддерживает черепицу. Она имеет центральный вырез,\n    который необходим для сборки, и на нижней стороне гравированную линию, которая указывает\n    положение монтажного кронштейна.\n  * N треугольников, формирующих крышу. Они также имеют небольшую дугу на кончике (roof_hole_diameter),\n  которая действует как направляющая для сверления, если вы хотите установить крючок.\n  * N-сторонняя опорная деталь крыши, которая имеет центральное отверстие для крючка. Она установлена\n  на черепицу через отверстие в нижней пластине крыши для поддержки черепицы\n  и действует как монтажная пластина для крючка.\n  * Прокладка(и); в эталонных сборках использовались 2 прокладки из 3мм фанеры. Прокладка\n  должна быть немного толще потолка (см. ниже). Это меньшая\n  \""U\""-образная часть, которая приклеивается к нижней стороне нижней пластины крыши.\n  * Кронштейн также \""U\""-образный и немного шире прокладки. Он приклеивается к\n  низу прокладки и удерживает клетку (нижняя часть).\n\nНижняя часть (клетка) состоит из следующих элементов:\n\n  * Потолок N-сторонний с центральным отверстием для пополнения и N меньшими отверстиями, в которые\n  вставляются жерди.\n  * N-сторонняя напольная часть с пальцевыми соединениями для стенок балкона и отверстиями для\n  жердей. Центральное отверстие для слива дождевой воды также может быть добавлено.\n  * N стенок балкона, окружающих пол.\n  * N жердей, которые соединяют пол и потолок (не часть чертежа)\n\nДругие части, необходимые для сборки:\n\n  * Деревянный прут (N раз длина жердей).\n  * Крючок (например, M5x50мм)\n  * Шайба для распределения нагрузки крючка на опорную деталь\n  * Одна или две гайки для закрепления крючка\n  * Дополнительно, кусок проволочной сетки\n\nСборка:\n\n  * Отшлифуйте все фаски\n  * Приклейте стенки балкона к полу\n  * Склейте пары черепицы и используйте нижнюю пластину крыши как кондуктор, можно использовать горячий клей для\n    закрепления частей.\n  * Склейте всю черепицу для формирования крыши\n  * Склейте прокладку(и) и кронштейн в стопку\n  * Приклейте черепицу к нижней пластине крыши и прикрепите опорную деталь\n  * Приклейте стопку к нижней пластине крыши\n  * Отрежьте жерди по длине\n  * Если хотите использовать несколько цветов, покрасьте сейчас, иначе можете покрасить позже\n  * После покраски вам может понадобиться удалить краску из отверстий для жердей снова, используя сверло\n  * Приклейте жерди в напольную пластину и потолок\n  * Прикрепите подвеску\n  * Прикрепите проволочную сетку\n    "
FatBallDispenser Settings,Настройки дозатора жировых шариков
sides,стороны
The number of sides of the floor plan.,Количество сторон плана этажа.
pole_diameter,диаметр_жерди
The diameter of the poles.,Диаметр жердей.
ball_diameter,диаметр_шарика
The diameter of the fat balls. Give some extra mm to make it a loose fit,Диаметр жировых шариков. Дайте несколько дополнительных мм для свободной посадки
balcony_width,ширина_балкона
The width of the area outside of the poles.,Ширина области снаружи жердей.
balcony_height,высота_балкона
The height of the balcony in mm. Set to 0 if no walls are needed.,Высота балкона в мм. Установите в 0 если стенки не нужны.
drain_hole_diameter,диаметр_дренажного_отверстия
The diameter of the hole of the floor (to drain rainwater)\n                    in mm. Set to 0 if you don't need it.,Диаметр отверстия в полу (для слива дождевой воды)\n                    в мм. Установите в 0 если не нужно.
pole_clearance,зазор_жерди
The minimum distance between a pole and the central\n                    refill hole in the ceiling in mm.,Минимальное расстояние между жердью и центральным\n                    отверстием для пополнения в потолке в мм.
slide_clearance,зазор_скольжения
The gap between the parts that slide into each other\n                    in the locking mechanism in mm.,Зазор между частями которые скользят друг в друга\n                    в механизме блокировки в мм.
spacer_width,ширина_прокладки
The width of the spacer (part of the locking mechanism) in mm.,Ширина прокладки (часть механизма блокировки) в мм.
pole_clearance_factor,фактор_зазора_жерди
The fraction of the pole clearance which is being used for\n                    the locking mechanism.,Доля зазора жерди которая используется для\n                    механизма блокировки.
Defines how much wider than the bottom floor the roof is.,Определяет насколько шире нижнего этажа крыша.
roof_height,высота_крыши
The height of the roof in mm.,Высота крыши в мм.
roof_hole_diameter,диаметр_отверстия_крыши
The diameter of the hole of the roof in mm.\n                    Set to 0 if you don't want to attach a hanger.,Диаметр отверстия крыши в мм.\n                    Установите в 0 если не хотите прикреплять подвеску.
roof_maintenance_clearance,зазор_обслуживания_крыши
The distance from on bottom corner of the roof to the maintenance hole in mm.,Расстояние от нижнего угла крыши до сервисного отверстия в мм.
roof_support_fraction,доля_поддержки_крыши
The radius of the roof support part as a fraction of the roof radius.,Радиус части поддержки крыши как доля радиуса крыши.
FilamentSpool,Катушка для филамента
A two part spool for 3D printing filament,Двухчастная катушка для филамента 3D-печати
"\nUse small nails to properly align the pieces of the bayonet latch. Glue the parts of the bayonet latch before assembling the \""axle\"". The inner parts go at the side and the outer parts at the inside of the axle.\n![opened spool](static/samples/FilamentSpool-2.jpg)","\nИспользуйте маленькие гвозди для правильного выравнивания частей байонетной защелки. Склейте части байонетной защелки перед сборкой \""оси\"". Внутренние части идут сбоку, а внешние части внутри оси.\n![открытая катушка](static/samples/FilamentSpool-2.jpg)"
FilamentSpool Settings,Настройки катушки для филамента
outer_diameter,внешний_диаметр
diameter of the flanges,диаметр фланцев
inner_diameter,внутренний_диаметр
diameter of the center part,диаметр центральной части
axle_diameter,диаметр_оси
diameter of the axle hole,диаметр отверстия оси
number of pieces for the center part,количество частей для центральной части
FillTest,Тест заполнения
Piece for testing different settings for hole filling,Деталь для тестирования различных настроек заполнения отверстий
FillTest Settings,Настройки теста заполнения
FlexBook,Гибкая книга
Box with living hinge styled after a book.,Коробка с гибким шарниром в стиле книги.
"\nIf you have an enclosure, arrange the living hinge to be as close to your extractor fan as possible.\n\n![Open](static/samples/FlexBook-2.jpg)","\nЕсли у вас есть корпус, расположите гибкий шарнир как можно ближе к вытяжному вентилятору.\n\n![Открыто](static/samples/FlexBook-2.jpg)"
FlexBook Settings,Настройки гибкой книги
recess_wall,углубленная_стенка
Whether to recess the inner wall for easier object removal,Нужно ли углублять внутреннюю стенку для более легкого извлечения объектов
Box with living hinge and round corners,Коробка с гибким шарниром и округлыми углами
FlexBox Settings,Настройки гибкой коробки
FlexBox2,Гибкая коробка 2
Box with living hinge and top corners rounded,Коробка с гибким шарниром и закругленными верхними углами
FlexBox2 Settings,Настройки гибкой коробки 2
Radius of the corners in mm,Радиус углов в мм
FlexBox3,Гибкая коробка 3
Box with living hinge,Коробка с гибким шарниром
FlexBox3 Settings,Настройки гибкой коробки 3
z,в
height of the box,высота коробки
height of the lid,высота крышки
radius of the lids living hinge,радиус гибкого шарнира крышки
clearance of the lid,зазор крышки
FlexBox4,Гибкая коробка 4
Box with living hinge and left corners rounded,Коробка с гибким шарниром и закругленными левыми углами
FlexBox4 Settings,Настройки гибкой коробки 4
FlexBox5,Гибкая коробка 5
FlexBox5 Settings,Настройки гибкой коробки 5
top_diameter,верхний_диаметр
diameter at the top,диаметр сверху
bottom_diameter,нижний_диаметр
diameter at the bottom,диаметр снизу
FlexTest,Тест гибкости
Piece for testing different flex settings,Деталь для тестирования различных настроек гибкости
FlexTest Settings,Настройки теста гибкости
FlexTest2,Тест гибкости 2
Piece for testing 2D flex settings,Деталь для тестирования 2D настроек гибкости
FlexTest2 Settings,Настройки теста гибкости 2
fw,гш
distance of flex cuts in multiples of thickness,расстояние гибких пропилов в кратных толщины
Folder,Папка
Book cover with flex for the spine,Обложка книги с гибкостью для корешка
Folder Settings,Настройки папки
r,р
FrontPanel,Передняя панель
Mounting Holes and cutouts for all your holy needs.,Монтажные отверстия и вырезы для всех ваших святых нужд.
"\n<script type=\""module\"" src=\""https://md-block.verou.me/md-block.js\""></script>\n<md-block>\n\n\nThis will help you create font (and side and top) panels for your\nboxes that are pre-configured for all the bits and bobs you'd like to\ninstall\n\n    The layout can create several types of holes including rectangles,\n    circles and mounting holes.  The default shows an example layout with all\n    currently supported objects.\n\n####\n`rect x y w h [cr=0] [cx=True] [cy=True]`\n\n     x: x position\n     y: y position\n     w: width\n     h: height\n    cr: optional, Corner radius, default=0\n    cx: optional, Center x.  the x position denotes the center of the rectangle.\n        accepts t, T, 1, or other true-like values.\n    cy: optional, Center y.  the y position denotes the center of the rectangle.\n\n#### outline\n`rect w h`\n\n    w: width\n    h: height\n\n`outline` has a special meaning: You can create multiple panel outlines with one command.\nThis has the effect of making it easy to manage all the holes on all the sides of\nyour boxes.\n\n#### circle\n`circle x y r`\n\n    x: x position\n    y: y position\n    r: radius\n\n#### mountinghole\nmountinghole x y d_shaft [d_head=0] [angle=0]\n\n          x: x position\n          y: y position\n    d_shaft: diameter of the shaft part of the mounting hole\n     d_head: optional. diameter of the head\n      angle: optional. angle of the mounting hole\n\n#### text\n`text x y size \""some text\"" [angle=0] [align=bottom|left]`\n\n        x: x position\n        y: y position\n     size: size, in mm\n     text: text to render.  This *must* be in quotation marks\n    angle: angle (in degrees)\n    align: string with combinations of (top|middle|bottom) and (left|center|right),\n           separated by '|'.  Default is 'bottom|left'\n\n\n\n#### nema\n`nema x y size [screwhole_size=0]`\n\n        x: x position (center of shaft)\n        y: y position (center of shaft)\n     size: nema size.  One of [8, 11, 14, 16, 17, 23, 24, 34, 42]\n    screw: screw size, in mm.  Optional.  Default=0, which means the default size\n</md-block>\n    ","\n<script type=\"module\" src=\"https://md-block.verou.me/md-block.js\"></script>\n<md-block>\n\n\nЭто поможет вам создать передние (а также боковые и верхние) панели для ваших\nкоробок, которые заранее настроены для всех компонентов, которые вы хотите\nустановить.\n\n    Макет может создавать несколько типов отверстий, включая прямоугольники,\n    круги и монтажные отверстия.  По умолчанию показан пример макета со всеми\n    поддерживаемыми объектами.\n\n####\n`rect x y w h [cr=0] [cx=True] [cy=True]`\n\n     x: x-позиция\n     y: y-позиция\n     w: ширина\n     h: высота\n    cr: необязательно, радиус скругления углов, по умолчанию=0\n    cx: необязательно, центр по x.  x-позиция обозначает центр прямоугольника.\n        принимает t, T, 1 или другие значения, трактуемые как истина.\n    cy: необязательно, центр по y.  y-позиция обозначает центр прямоугольника.\n\n#### outline\n`rect w h`\n\n    w: ширина\n    h: высота\n\n`outline` имеет особое значение: вы можете создать несколько контуров панелей одной командой.\nЭто облегчает управление всеми отверстиями на всех сторонах\nваших коробок.\n\n#### circle\n`circle x y r`\n\n    x: x-позиция\n    y: y-позиция\n    r: радиус\n\n#### mountinghole\nmountinghole x y d_shaft [d_head=0] [angle=0]\n\n          x: x-позиция\n          y: y-позиция\n    d_shaft: диаметр части отверстия под вал\n     d_head: необязательно. диаметр головки\n      angle: необязательно. угол монтажного отверстия\n\n#### text\n`text x y size \"some text\" [angle=0] [align=bottom|left]`\n\n        x: x-позиция\n        y: y-позиция\n     size: размер, в мм\n     text: текст для отображения.  Должен быть в кавычках\n    angle: угол (в градусах)\n    align: строка с комбинациями (top|middle|bottom) и (left|center|right),\n           разделёнными '|'.  По умолчанию 'bottom|left'\n\n\n\n#### nema\n`nema x y size [screwhole_size=0]`\n\n        x: x-позиция (центр вала)\n        y: y-позиция (центр вала)\n     size: размер nema.  Один из [8, 11, 14, 16, 17, 23, 24, 34, 42]\n    screw: размер винта, в мм.  Необязательно.  По умолчанию=0, что означает размер по умолчанию\n</md-block>\n    "
